"performing sector and source of funds","2010","2011","2012","2013","2014","2015","2016","2017a","2018b"
"current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions"
"all performing sectors","406579","426160","433619","453966","475425","493684","515641","547886","579985"
"business","278977","294092","302251","322528","340728","355821","374685","400101","422070"
"federal government","50798","53524","52144","51086","52687","52847","51187","52553","58240"
"federal intramuralc","31970","34950","34017","33406","34783","34199","31762","32231","36856"
"ffrdcs","18828","18574","18128","17680","17903","18649","19424","20322","21383"
"nonfederal government","691","694","665","620","583","595","622","641","641"
"higher education","58083","60088","60896","61547","62349","64623","67800","71251","74722"
"other nonprofit organizationsd","18030","17762","17664","18185","19078","19798","21347","23340","24312"
"all funding sources","406579","426160","433619","453966","475425","493684","515641","547886","579985"
"business","248124","266422","275718","297168","318383","333208","355545","381137","404231"
"federal government","126616","127014","123837","120130","118365","119524","116492","120961","127246"
"nonfederal government","4303","4386","4158","4244","4214","4267","4481","4582","4726"
"higher education","12262","13103","14300","15378","16210","17299","18484","19723","21120"
"other nonprofit organizationsd","15275","15235","15607","17046","18254","19386","20640","21482","22662"
"constant 2012 $millions","constant 2012 $millions","constant 2012 $millions","constant 2012 $millions","constant 2012 $millions","constant 2012 $millions","constant 2012 $millions","constant 2012 $millions","constant 2012 $millions","constant 2012 $millions"
"all performing sectors","423033","434334","433619","446136","458735","471444","487370","508272","525256"
"business","290267","299733","302251","316965","328767","339792","354142","371173","382242"
"federal government","52854","54551","52144","50205","50837","50467","48380","48753","52744"
"federal intramuralc","33264","35621","34017","32830","33562","32658","30021","29901","33378"
"ffrdcs","19590","18930","18128","17375","17275","17809","18359","18852","19365"
"nonfederal government","719","707","665","609","563","568","588","594","580"
"higher education","60434","61240","60896","60485","60160","61712","64083","66099","67671"
"other nonprofit organizationsd","18760","18103","17664","17871","18408","18906","20177","21653","22018"
"all funding sources","423033","434334","433619","446136","458735","471444","487370","508272","525256"
"business","258165","271531","275718","292043","307206","318197","336051","353580","366087"
"federal government","131740","129450","123837","118058","114209","114140","110105","112215","115238"
"nonfederal government","4477","4471","4158","4171","4066","4075","4235","4251","4280"
"higher education","12758","13354","14300","15112","15640","16520","17470","18297","19127"
"other nonprofit organizationsd","15893","15528","15607","16752","17614","18513","19508","19929","20523"
