"club","season","league","league","league","cup","cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"rennes","2002-03","ligue 1","1","0","0","0","-","-","1","0"
"rennes","2003-04","ligue 1","7","1","1","0","-","-","8","1"
"rennes","2004-05","ligue 1","10","0","1","0","-","-","11","0"
"rennes","2005-06","ligue 1","29","3","1","0","6","1","36","4"
"rennes","2006-07","ligue 1","35","9","3","1","-","-","38","10"
"rennes","2007-08","ligue 1","37","7","4","1","6","0","47","8"
"rennes","2008-09","ligue 1","27","8","4","4","3","0","34","12"
"rennes","2009-10","ligue 1","23","5","4","1","0","0","27","6"
"rennes","total","total","169","33","18","7","15","1","202","41"
"lyon","2010-11","ligue 1","33","6","3","1","8","1","44","8"
"lyon","2011-12","ligue 1","37","9","9","3","10","2","56","14"
"lyon","2012-13","ligue 1","15","1","2","1","3","1","20","3"
"lyon","2013-14","ligue 1","25","6","5","2","10","1","40","9"
"lyon","total","total","110","22","19","7","31","5","160","34"
"hannover 96","2014-15","bundesliga","29","3","1","0","-","-","30","3"
"hannover 96","total","total","29","3","1","0","0","0","30","3"
"guingamp","2015-16","ligue 1","35","7","4","1","-","-","39","8"
"guingamp","2016-17","ligue 1","34","12","5","1","-","-","39","13"
"guingamp","2017-18","ligue 1","37","11","3","0","-","-","40","11"
"guingamp","total","total","106","30","12","2","0","0","118","32"
"bordeaux","2018-19","ligue 1","9","2","0","0","5","2","14","4"
"career total","career total","career total","423","90","50","16","51","8","524","114"
