"province or territory","gang-related","gang-related","gang-related","gang-related","gang-related","gang-related","gang-related","gang-related"
"province or territory","2017","2017","2017","2017","2016r","2016r","2016r","2016r"
"province or territory","number","percent","rate","number of total homicides","number","percent","rate","number of total homicides"
"newfoundland and labrador","0","0.0","0.00","4","1","14.3","0.19","7"
"prince edward island","..","..","..","0","..","..","..","0"
"nova scotia","1","4.8","0.10","21","3","23.1","0.32","13"
"new brunswick","3","30.0","0.39","10","2","20.0","0.26","11"
"quebec","15","16.1","0.18","93","19","29.2","0.23","67"
"ontario","48","24.5","0.34","196","44","22.3","0.31","206"
"manitoba","13","27.7","0.97","47","9","21.4","0.68","42"
"saskatchewan","5","13.5","0.43","37","13","24.5","1.13","54"
"alberta","32","27.1","0.75","118","20","18.3","0.47","116"
"british columbia","44","37.3","0.91","118","29","33.7","0.61","88"
"yukon","2","25.0","5.20","8","0","0.0","0.00","4"
"northwest territories","0","0.0","0.00","2","0","0.0","0.00","3"
"nunavut","0","0.0","0.00","6","0","0.0","0.00","1"
"canada","163","24.7","0.44","660","140","23.8","0.39","612"
