"province or territory","gang-related","gang-related","gang-related","gang-related","gang-related","gang-related"
"province or territory","2016","2016","2016","2015r","2015r","2015r"
"province or territory","number","percent","number of total homicides","number","percent","number of total homicides"
"newfoundland and labrador","1","14.3","7","0","0.0","3"
"prince edward island","..","..","0","0","0.0","1"
"nova scotia","3","23.1","13","0","0.0","12"
"new brunswick","2","20.0","11","0","0.0","11"
"quebec","19","29.2","67","19","25.7","79"
"ontario","45","22.8","206","21","12.9","174"
"manitoba","9","21.4","42","4","8.5","47"
"saskatchewan","13","24.5","54","5","11.4","44"
"alberta","20","18.3","116","28","22.0","133"
"british columbia","29","34.1","87","19","19.6","97"
"yukon","0","0.0","4","0","0.0","1"
"northwest territories","0","0.0","3","0","0.0","5"
"nunavut","0","0.0","1","0","0.0","2"
"canada","141","24.0","611","96","16.4","609"
