"year","team","games","games","receiving","receiving","receiving","receiving","receiving","rushing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"year","team","g","gs","rec","yds","avg","lng","td","att","yds","avg","lng","td","fum","lost"
"2006","sf","10","8","20","265","13.3","52t","3","2","5","2.5","9","0","1","1"
"2007","sf","14","14","52","509","9.8","31","4","0","0","0.0","0","0","1","1"
"2008","sf","16","16","31","358","11.5","57","2","1","11","11.0","11","0","2","1"
"2009","sf","16","16","78","965","12.4","73t","13","0","0","0.0","0","0","0","0"
"2010","sf","16","16","56","914","16.3","66t","7","0","0","0.0","0","0","0","0"
"2011","sf","16","16","67","792","11.8","44","6","2","-5","-2.5","-2","0","3","1"
"2012","sf","16","16","41","548","13.4","53","5","0","0","0.0","0","0","0","0"
"2013","sf","15","15","52","850","16.3","64t","13","0","0","0.0","0","0","1","1"
"2014","sf","14","14","26","245","9.4","29t","2","1","4","4.0","4","0","0","0"
"2015","sf","6","5","18","194","10.8","43","0","0","0","0.0","0","0","0","0"
"2015","den","9","4","20","201","10.1","23","0","0","0","0.0","0","0","0","0"
"2016","was","16","14","44","583","13.3","44","2","0","0","0.0","0","0","0","0"
"2017","was","16","16","43","648","15.1","69","3","0","0","0.0","0","0","2","2"
"2018","was","14","8","25","367","14.7","53","2","0","0","0.0","0","0","0","0"
"career","career","194","178","573","7,439","13.0","73","62","6","15","2.5","11","0","10","7"
