"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"stoke city","1977-78","second division","24","2","2","0","0","0","0","0","26","2"
"stoke city","1978-79","second division","38","0","1","0","4","0","0","0","43","0"
"stoke city","1979-80","first division","16","1","0","0","3","0","0","0","19","1"
"stoke city","total","total","78","3","3","0","7","0","0","0","88","3"
"leicester city","1979-80","second division","11","0","0","0","0","0","0","0","11","0"
"leicester city","1980-81","first division","21","0","2","0","0","0","0","0","23","0"
"leicester city","1981-82","second division","7","0","0","0","3","0","0","0","10","0"
"leicester city","total","total","39","0","2","0","3","0","0","0","43","0"
"birmingham city","1981-82","first division","15","0","0","0","0","0","0","0","15","0"
"birmingham city","1982-83","first division","4","0","0","0","0","0","0","0","4","0"
"birmingham city","total","total","19","0","0","0","0","0","0","0","19","0"
"charlton athletic","1982-83","second division","2","0","0","0","0","0","0","0","2","0"
"charlton athletic","1983-84","second division","0","0","0","0","0","0","0","0","0","0"
"middlesbrough","1984-85","second division","2","0","0","0","1","0","0","0","3","0"
"northampton town","1984-85","fourth division","17","0","3","0","0","0","2","0","22","0"
"cambridge united","1985-86","fourth division","19","0","1","0","0","0","2","0","22","0"
"career total","career total","career total","176","3","9","0","11","0","4","0","200","3"
