"club","season","league","league","league","fa cup","fa cup","league cup","league cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"sheffield wednesday","1963-64","division 1","3","0","0","0","0","0","3","0"
"sheffield wednesday","1964-65","division 1","42","2","2","0","0","0","44","2"
"sheffield wednesday","1965-66","division 1","30","1","5","0","0","0","35","1"
"sheffield wednesday","1966-67","division 1","25","0","4","0","0","0","29","0"
"sheffield wednesday","1967-68","division 1","42","3","4","0","3","0","49","3"
"sheffield wednesday","1968-69","division 1","42","2","4","0","1","0","47","2"
"sheffield wednesday","1969-70","division 1","3","0","0","0","0","0","3","0"
"sheffield wednesday","total","total","187","8","19","0","4","0","210","8"
"queens park rangers","1969-70","division 2","22","0","3","0","2","0","27","0"
"queens park rangers","1970-71","division 2","3","0","0","0","1","0","4","0"
"queens park rangers","total","total","25","0","3","0","3","0","31","0"
"career total","career total","career total","212","8","22","0","7","0","241","8"
