"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"tiro federal","2010-11","primera b nacional","2","0","0","0","-","-","0","0","2","0"
"tiro federal","2011-12","torneo argentino a","8","0","0","0","-","-","0","0","8","0"
"tiro federal","2012-13","torneo argentino a","23","1","0","0","-","-","2","0","25","1"
"tiro federal","2013-14","torneo argentino a","25","4","0","0","-","-","4","0","29","4"
"tiro federal","2014","torneo federal a","14","2","0","0","-","-","2","0","16","2"
"tiro federal","total","total","72","7","0","0","-","-","8","0","80","7"
"santamarina","2015","primera b nacional","15","0","1","0","-","-","0","0","16","0"
"puerto san martin","2016","torneo federal b","2","0","0","0","-","-","0","0","2","0"
"mitre","2016","torneo federal a","11","1","0","0","-","-","2","0","13","1"
"mitre","2016-17","torneo federal a","33","0","0","0","-","-","0","0","33","0"
"mitre","2017-18","primera b nacional","24","0","2","0","-","-","0","0","26","0"
"mitre","2018-19","primera b nacional","11","0","0","0","-","-","0","0","11","0"
"mitre","total","total","79","1","2","0","-","-","2","0","83","1"
"career total","career total","career total","168","8","3","0","-","-","10","0","181","8"
