"","first tuberculosis-related hospitalization after landing","first tuberculosis-related hospitalization after landing","first tuberculosis-related hospitalization after landing","first tuberculosis-related hospitalization after landing"
"","number","incidence adjusted for person-years","95% confidence interval","95% confidence interval"
"","number","incidence adjusted for person-years","from","to"
"all","1,015","5.2","4.8","5.5"
"age at hospitalization","","","",""
"0 to 17 years","65","1.5","0.8","2.1"
"18 to 24 years","175","3.4","2.5","4.2"
"25 to 34 years","270","7.1","6.1","8.0"
"35 to 44 years","165","5.8","5.0","6.5"
"45 to 64 years","190","3.4","3.2","3.9"
"65 years and older","145","11.3","9.8","12.8"
"sex","","","",""
"male","535","5.6","5.1","6.1"
"female","480","4.7","4.3","5.2"
"landing year","","","",""
"2000 to 2003","415","4.5","4.1","5.0"
"2004 to 2008","410","5.3","4.8","5.8"
"2009 to 2013","195","6.8","5.9","7.8"
"country risk level","","","",""
"low","30","0.6","0.3","0.8"
"high","985","6.8","6.3","7.2"
"who","785","6.9","6.4","7.4"
"ircc-specific","200","6.2","5.4","7.2"
"top 12 source countries for tuberculosis hospitalizations in canada","","","",""
"india","245","8.5","7.4","9.6"
"philippines","175","10.6","9.1","12.4"
"china","70","2.1","1.6","2.7"
"ethiopia","65","51.1","39.7","65.7"
"pakistan","45","3.8","2.8","5.2"
"somalia","45","42.8","31.3","58.5"
"sri lanka","30","7.4","5.1","10.6"
"afghanistan","35","14.8","10.4","21.0"
"viet nam","30","17.5","12.1","25.1"
"nepal","25","42.4","27.8","64.1"
"sudan","30","24.3","16.5","35.7"
"bangladesh","25","8.2","5.2","12.6"
"all others","205","2.2","1.9","2.5"
"intended region of residence","","","",""
"atlantic","20","4.7","2.9","7.5"
"ontario","635","5.0","4.6","5.4"
"prairies","220","8.0","7.0","9.2"
"british columbia","140","3.7","3.1","4.3"
"immigrant category","","","",""
"economic, principal applicants","140","3.1","2.6","3.6"
"economic, spouse/children","175","2.5","2.1","2.9"
"family","390","7.1","6.4","7.8"
"refugee","290","13.5","12.0","15.2"
"other/unknown/missing","20","5.6","3.5","8.9"
