"no","pos","nat","player","total","total","scottish second division","scottish second division","scottish cup","scottish cup","league cup","league cup","challenge cup","challenge cup"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"none","gk","scotland","youssef bejaoui","7","0","5+0","0","0+0","0","1+0","0","1+0","0"
"none","gk","england","thomas flynn","32","0","30+0","0","2+0","0","0+0","0","0+0","0"
"none","gk","scotland","lee wilson","1","0","1+0","0","0+0","0","0+0","0","0+0","0"
"none","df","scotland","kenny adamson","35","1","30+1","1","2+0","0","1+0","0","1+0","0"
"none","df","scotland","john armstrong","35","1","33+1","1","1+0","0","0+0","0","0+0","0"
"none","df","scotland","steven bennett","0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"none","df","scotland","dean brett","16","0","14+0","0","0+0","0","1+0","0","1+0","0"
"none","df","scotland","paul byrne","2","0","0+2","0","0+0","0","0+0","0","0+0","0"
"none","df","scotland","dene droudge","0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"none","df","scotland","scott linton","37","5","30+3","4","2+0","1","0+1","0","1+0","0"
"none","df","scotland","joe mbu","34","2","30+0","2","2+0","0","1+0","0","1+0","0"
"none","df","scotland","thomas o'brien","16","1","11+4","1","1+0","0","0+0","0","0+0","0"
"none","df","england","david cowan","17","0","15+0","0","2+0","0","0+0","0","0+0","0"
"none","df","scotland","gary fisher","10","0","9+1","0","0+0","0","0+0","0","0+0","0"
"none","mf","scotland","colin cameron","26","1","20+2","1","2+0","0","1+0","0","1+0","0"
"none","mf","scotland","danny mackay","0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"none","mf","england","lee makel","3","0","1+2","0","0+0","0","0+0","0","0+0","0"
"none","mf","scotland","kyle miller","6","0","2+3","0","0+0","0","0+0","0","0+1","0"
"none","mf","scotland","jordan morton","20","6","12+6","6","0+0","0","1+0","0","1+0","0"
"none","mf","scotland","mark ramsay","28","8","19+5","6","2+0","0","1+0","2","1+0","0"
"none","mf","scotland","jon robertson","39","7","35+0","5","2+0","2","1+0","0","1+0","0"
"none","mf","scotland","craig winter","12","0","3+6","0","0+1","0","1+0","0","1+0","0"
"none","mf","scotland","lewis milne","8","0","3+4","0","0+0","0","0+0","0","0+1","0"
"none","mf","scotland","dean brett","3","0","2+1","0","0+0","0","0+0","0","0+0","0"
"none","fw","scotland","lewis coult","36","15","20+12","13","0+2","1","1+0","0","0+1","1"
"none","fw","scotland","john ferguson","1","0","1+0","0","0+0","0","0+0","0","0+0","0"
"none","fw","scotland","marc mckenzie","39","18","31+5","18","1+1","0","0+1","0","0+0","0"
"none","fw","scotland","greg stewart","33","7","17+12","6","2+0","1","1+0","0","1+0","0"
"none","fw","scotland","kal naismith","10","2","7+2","2","1+0","0","0+0","0","0+0","0"
"none","fw","scotland","derek lyle","18","1","12+6","1","0+0","0","0+0","0","0+0","0"
"none","fw","scotland","liam cusack","13","0","7+6","0","0+0","0","0+0","0","0+0","0"
