"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"talleres","2011-12","torneo argentino a","22","5","1","0","-","-","0","0","23","5"
"santamarina","2012-13","torneo argentino a","26","3","2","0","-","-","6","2","34","5"
"santamarina","2013-14","torneo argentino a","26","2","3","1","-","-","0","0","29","3"
"santamarina","2014","primera b nacional","17","3","0","0","-","-","0","0","17","3"
"santamarina","2015","primera b nacional","18","1","1","0","-","-","0","0","19","1"
"santamarina","total","total","87","9","7","1","-","-","6","2","100","12"
"douglas haig","2015","primera b nacional","15","0","0","0","-","-","0","0","15","0"
"douglas haig","2016","primera b nacional","16","3","1","0","-","-","0","0","17","3"
"douglas haig","total","total","31","3","1","0","-","-","0","0","32","3"
"guillermo brown","2016-17","primera b nacional","40","7","0","0","-","-","0","0","40","7"
"quilmes","2017-18","primera b nacional","13","1","0","0","-","-","0","0","13","1"
"mitre","2018-19","primera b nacional","9","0","0","0","-","-","0","0","9","0"
"career total","career total","career total","202","25","8","1","-","-","6","2","216","28"
