"jurisdiction","total custody","total custody","total community supervision","total community supervision","total correctional services","total correctional services"
"jurisdiction","number","percent change from 2017/2018","number","percent change from 2017/2018","number","percent change from 2017/2018"
"newfoundland and labrador","77","18","140","-27","217","-16"
"prince edward island","4","-83","105","-5","109","-19"
"nova scotia","226","-25","177","-22","403","-24"
"new brunswick","195","-8","264","1","459","-3"
"ontario","2,240","-18","2,556","-9","4,796","-13"
"manitoba","1,556","-24","1,138","-26","2,694","-25"
"saskatchewan","1,236","-13","1,888","-12","3,124","-12"
"british columbia","547","-30","2,092","-5","2,639","-11"
"yukon","19","-42","2","-75","21","-49"
"northwest territories","36","-37","49","4","85","-18"
"nunavut","6","-54","25","-4","31","-21"
"total-all jurisdictions","6,142","-20","8,436","-12","14,578","-15"
