"characteristics","chms","chms","chms","cchs","cchs","cchs"
"characteristics","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval"
"characteristics","%","from","to","%","from","to"
"good health","89.6","87.0","91.7","88.5","87.6","89.3"
"age group","","","","","",""
"12 to 29","94.7","91.5","96.7","96.7","95.7","97.5"
"30 to 49","91.5","86.7","94.7","91.9","90.5","93.1"
"50 to 79","84.8","80.6","88.2","80.8","79.2","82.2"
"sex","","","","","",""
"male","90.5","86.9","93.2","88.8","87.5","89.9"
"female","88.7","84.7","91.7","88.2","87.0","89.2"
"world region of origin","","","","","",""
"united states","94.6","87.7","97.7","91.4","87.8","94.1"
"south/central america and caribbean","88.8","80.8","93.7","88.3","85.9","90.4"
"europe","88.5","85.0","91.2","85.8","84.5","87.0"
"africa","97.0","87.5","99.3","90.7","87.5","93.1"
"asia","88.8","83.7","92.4","89.7","88.2","91.1"
"period of arrival","","","","","",""
"1996 or later","94.0","88.6","96.9","92.6","91.2","93.9"
"1986 to 1995","88.1","78.5","93.8","89.1","87.2","90.7"
"before 1986","85.3","81.1","88.7","83.4","82.0","84.7"
"good mental health","95.6","93.6","97.0","95.0","94.4","95.5"
"age group","","","","","",""
"12 to 29","93.9","87.2","97.2","97.0","95.8","97.9"
"30 to 49","96.4","92.6","98.3","94.9","93.9","95.8"
"50 to 79","95.5","91.9","97.6","94.0","93.1","94.8"
"sex","","","","","",""
"male","95.8","93.3","97.4","95.3","94.5","96.0"
"female","95.4","91.5","97.6","94.7","93.9","95.4"
"world region of origin","","","","","",""
"united states","91.7","72.9","97.9","96.2","94.3","97.4"
"south/central america and carribean","96.9","91.6","98.9","94.8","93.0","96.2"
"europe","96.2","91.4","98.3","94.7","93.9","95.5"
"africa","98.9","96.4","99.7","95.5","92.9","97.2"
"asia","95.3","92.6","97.0","95.1","94.1","96.0"
"period of arrival","","","","","",""
"1996 or later","95.8","93.3","97.3","95.9","95.02","96.7"
"1986 to 1995","97.9","95.5","99.0","94.8","93.3","95.9"
"before 1986","94.2","89.5","96.8","94.1","93.2","94.9"
"high blood pressure","22.3","18.3","27.0","21.5","20.4","22.6"
"age group","","","","","",""
"30 to 49","12.7","7.5","20.6","8.2","7.0","9.6"
"50 to 79","33.4","28.7","38.5","34.7","33.0","36.4"
"sex","","","","","",""
"male","27.8","20.7","36.4","21.8","20.3","23.4"
"female","16.6","13.1","20.8","21.1","19.6","22.8"
"world region of origin","","","","","",""
"united states","22.2","13.0","35.4","19.2","14.7","24.7"
"south/central america and caribbean","21.8","13.7","32.9","20.2","16.95","24.0"
"europe","27.7","22.5","33.5","26.6","24.9","28.4"
"africa","f","..","..","16.1","12.1","20.8"
"asia","19.9","12.7","29.8","18.4","16.6","20.4"
"period of arrival","","","","","",""
"1996 or later","12.8","6.4","24.1","12.8","10.9","14.9"
"1986 to 1995","16.1","12.5","20.4","18.3","15.7","21.2"
"before 1986","32.7","27.8","38.1","29.2","27.7","30.7"
