"type of activity with which help is needed","women","women","women","men","men","men"
"type of activity with which help is needed","mild, moderate, severe, or very severe disability","mild or moderate disability","severe or very severe disability","mild, moderate, severe, or very severe disability","mild or moderate disability","severe or very severe disability"
"type of activity with which help is needed","percent","percent","percent","percent","percent","percent"
"preparing meals","30.8","13.3","48.5","24.6","11.1","39.9"
"housework","52.2","33.4","71.1","35.7","19.5","54.4"
"heavy household chores","64.9","53.9","76.0","51.9","35.0","71.2"
"getting to appointments","48.1","30.6","65.7","32.8","16.5","51.3"
"personal finances","22.6","12.8","32.3","21.3","11.6","32.4"
"personal care","15.8","5.0","26.6","15.2","4.9","27.1"
"basic medical care","12.5","5.5","19.5","11.7","5.6","18.6"
"moving around","10.5","3.7","17.2","8.1","2.1","15.0"
"childcare","9.7","6.6","14.0","7.5","3.7","13.2"
