"season","club","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"season","club","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"torquay united","1998-99","third division","7","2","0","0","0","0","2","1","9","3"
"port vale","1998-99","first division","11","2","0","0","0","0","0","0","11","2"
"aston villa","1995-96","premier league","0","0","0","0","0","0","0","0","0","0"
"aston villa","1996-97","premier league","0","0","0","0","0","0","0","0","0","0"
"aston villa","1997-98","premier league","0","0","0","0","0","0","0","0","0","0"
"aston villa","1998-99","premier league","0","0","0","0","0","0","0","0","0","0"
"aston villa","total","total","0","0","0","0","0","0","0","0","0","0"
"burnley","1999-2000","second division","15","0","2","0","2","0","1","1","20","1"
"rotherham united","2000-01","second division","31","13","3","1","0","0","1","1","35","15"
"rotherham united","2001-02","first division","38","9","1","0","2","1","0","0","41","10"
"rotherham united","2002-03","first division","41","15","1","0","2","1","0","0","44","16"
"rotherham united","2003-04","first division","1","0","0","0","1","0","0","0","2","0"
"rotherham united","total","total","111","37","5","1","5","2","1","1","122","41"
"cardiff city","2003-04","first division","23","3","1","0","0","0","0","0","24","3"
"cardiff city","2004-05","championship","38","5","2","1","3","1","0","0","43","7"
"cardiff city","2005-06","championship","25","2","1","0","3","0","0","0","29","2"
"cardiff city","total","total","86","10","4","1","6","1","0","0","96","12"
"ipswich town","2005-06","championship","14","4","0","0","0","0","0","0","14","4"
"ipswich town","2006-07","championship","41","16","3","1","0","0","0","0","44","17"
"ipswich town","2007-08","championship","45","11","1","0","1","1","0","0","47","12"
"ipswich town","2008-09","championship","3","0","0","0","1","1","0","0","4","1"
"ipswich town","total","total","103","31","4","1","2","2","0","0","109","34"
"norwich city","2008-09","championship","7","2","0","0","0","0","0","0","7","2"
"crystal palace","2008-09","championship","16","3","3","0","0","0","0","0","19","3"
"crystal palace","2009-10","championship","42","6","5","1","1","0","0","0","48","7"
"crystal palace","2010-11","championship","3","1","0","0","1","1","0","0","4","2"
"crystal palace","total","total","61","10","8","1","2","1","0","0","71","12"
"huddersfield town","2010-11","league one","28","0","4","1","0","0","6","2","38","3"
"huddersfield town","2011-12","league one","31","7","1","0","2","0","4","0","38","7"
"huddersfield town","2012-13","championship","21","1","3","0","1","0","0","0","25","2"
"huddersfield town","total","total","80","8","8","1","3","0","10","2","101","12"
"ipswich town","2013-14","championship","0","0","1","0","0","0","0","0","1","0"
"career total","career total","career total","481","102","32","5","20","6","14","5","547","119"
