"socioeconomic characteristics","off-reserve first nations","off-reserve first nations","off-reserve first nations","metis","metis","metis","inuit","inuit","inuit"
"socioeconomic characteristics","mean","se","f","mean","se","f","mean","se","f"
"total","6.3","0.17","","6.0","0.14","","5.5","0.22",""
"sex","","","","","","","","",""
"male","5.3","0.22","128.9","5.1","0.17","110.5","4.8","0.26","32.3"
"female","7.1","0.22","","6.7","0.20","","6.1","0.34",""
"age group","","","","","","","","",""
"15 to 17","6.6","0.37","16.3","6.3","0.43","13.2","6.2","0.44","17.0"
"18 to 24","7.1","0.34","","6.5","0.27","","7.2","0.67",""
"25 to 34","6.7","0.35","","6.5","0.27","","5.2","0.30",""
"35 to 44","6.3","0.26","","6.4","0.32","","5.6","0.47",""
"45 to 54","6.8","0.59","","6.0","0.36","","5.0","0.46",""
"55 or older","5.0","0.35","","4.9","0.26","","3.8","0.53",""
"education","","","","","","","","",""
"less than secondary graduation","7.7","0.41","42.3","7.0","0.36","21.9","5.8","0.30","4.8"
"secondary graduation","5.9","0.44","","5.6","0.31","","5.7","1.21",""
"at least some postsecondary","5.9","0.24","","5.7","0.17","","5.0","0.30",""
"household income quintile","","","","","","","","",""
"1","8.3","0.39","70.3","8.3","0.34","89.4","7.2","0.63","20.0"
"2","6.9","0.39","","6.2","0.29","","5.1","0.34",""
"3","5.7","0.31","","5.4","0.26","","5.3","0.39",""
"4","5.4","0.32","","4.9","0.25","","5.2","0.46",""
"5","4.6","0.23","","4.4","0.20","","4.3","0.30",""
