"club","season","league","league","league","fa cup","fa cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"crewe alexandra","2010-11","league two","17","0","1","0","0","0","-","-","1","0","19","0"
"crewe alexandra","2011-12","league two","38","14","1","0","1","0","-","-","5","2","45","16"
"crewe alexandra","total","total","55","14","2","0","1","0","-","-","6","2","64","16"
"manchester united","2012-13","premier league","2","1","0","0","2","0","2","0","-","-","6","1"
"manchester united","2013-14","premier league","0","0","0","0","0","0","0","0","0","0","0","0"
"manchester united","2014-15","premier league","0","0","0","0","1","0","-","-","1","0","none","none"
"manchester united","2015-16","premier league","1","0","0","0","0","0","1","0","-","-","2","0"
"manchester united","total","total","3","1","0","0","3","0","3","0","0","0","9","1"
"wigan athletic","2013-14","championship","31","7","3","2","1","0","6","3","-","-","41","12"
"leicester city","2014-15","premier league","3","0","0","0","0","0","-","-","3","0","none","none"
"hull city","2015-16","championship","3","0","2","0","0","0","-","-","5","0","none","none"
"wigan athletic","2016-17","championship","21","6","1","0","0","0","-","-","22","6","none","none"
"wigan athletic","2017-18","league one","39","15","6","0","0","0","-","-","0","0","45","15"
"wigan athletic","2018-19","championship","28","7","0","0","0","0","0","0","0","0","28","7"
"wigan athletic","total","total","88","28","7","0","0","0","-","-","0","0","95","28"
"career total","career total","career total","183","50","14","2","5","0","9","3","6","2","217","57"
