"","charter of rights and freedoms","flag","national anthem","rcmp","hockey"
"","percent","percent","percent","percent","percent"
"canada","70","69","64","55","46"
"newfoundland and labrador","78","80","78","78","53"
"prince edward island","78","79","74","68","49"
"nova scotia","74","81","73","69","51"
"new brunswick","72","77","72","64","46"
"quebec","53","37","38","33","32"
"ontario","77","80","73","59","53"
"manitoba","70","77","70","68","48"
"saskatchewan","70","79","73","73","42"
"alberta","76","79","74","67","51"
"british columbia","72","73","65","54","48"
