"educational experiences","women","men"
"educational experiences","percent","percent"
"ever discontinued education or training","39.4","28.9"
"began school later than people your age","19.7","21.9"
"ever changed course of studies","35.3","39.7"
"choice of courses or career influenced","49.6","62.5"
"took fewer courses or subjects","50.6","54.9"
"took courses by correspondence or home study","21.7","17.7"
"changed schools","f","20.1"
"left community to attend school","12.6","f"
"attended special education","11.8","39.1"
"education was interrupted for long periods of time","38.3","36.5"
"ever went back to school for retraining","33.5","37.7"
"had additional expenses for schooling","14.9","38.8"
"took longer to achieve present level of education","50.2","57.8"
"people avoided you or you felt left out of things at school","35.9","30.3"
"experienced bullying at school","26.2","25.2"
