"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","album"
"year","single","us rock","us mod. rock","can","can rock","mex air","album"
"2002","the disco before the breakdown","-","-","-","-","-","non-album single"
"2004","cavalier eternal","-","-","-","-","-","against me! as the eternal cowboy"
"2005","sink, florida, sink","-","-","-","-","-","against me! as the eternal cowboy"
"2005","don't lose touch","-","-","-","-","-","searching for a former clarity"
"2006","from her lips to god's ears","-","-","-","-","-","searching for a former clarity"
"2007","white people for peace","-","-","-","-","-","new wave"
"2007","thrash unreal","-","11","51","3","-","new wave"
"2008","stop!","-","27","78","8","-","new wave"
"2008","new wave","-","-","-","-","-","new wave"
"2010","i was a teenage anarchist","33","16","66","1","48","white crosses"
"2010","high pressure low","-","-","-","-","-","white crosses"
"2011","russian spies / occult enemies","-","-","-","-","-","non-album single"
"2013","true trans","-","-","-","-","-","transgender dysphoria blues"
"2014","unconditional love","-","-","-","-","-","transgender dysphoria blues"
"2015","osama bin laden as the crucified christ","-","-","-","-","-","transgender dysphoria blues"
"2017","stabitha christie / first high of the morning","-","-","-","-","-","non-album single"
""-" denotes singles that were released but did not chart. "n/a" denotes singles that are not from albums",""-" denotes singles that were released but did not chart. "n/a" denotes singles that are not from albums",""-" denotes singles that were released but did not chart. "n/a" denotes singles that are not from albums",""-" denotes singles that were released but did not chart. "n/a" denotes singles that are not from albums",""-" denotes singles that were released but did not chart. "n/a" denotes singles that are not from albums",""-" denotes singles that were released but did not chart. "n/a" denotes singles that are not from albums",""-" denotes singles that were released but did not chart. "n/a" denotes singles that are not from albums",""-" denotes singles that were released but did not chart. "n/a" denotes singles that are not from albums"
