"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"river plate","2012-13","primera division","0","0","1","0","0","0","0","0","1","0"
"river plate","2013-14","primera division","0","0","0","0","0","0","0","0","0","0"
"river plate","total","total","0","0","1","0","0","0","0","0","1","0"
"atletico de rafaela","2013-14","primera division","3","0","0","0","-","-","0","0","3","0"
"nueva chicago","2014","primera b nacional","0","0","0","0","-","-","0","0","0","0"
"nueva chicago","total","total","0","0","0","0","-","-","0","0","0","0"
"belgrano","2015","primera division","4","0","0","0","0","0","0","0","4","0"
"belgrano","2016","primera division","2","0","0","0","-","-","0","0","2","0"
"belgrano","2016-17","primera division","11","0","3","0","0","0","0","0","14","0"
"belgrano","2017-18","primera division","0","0","0","0","-","-","0","0","0","0"
"belgrano","total","total","17","0","3","0","0","0","0","0","20","0"
"san martin","2017-18","primera b nacional","15","0","0","0","-","-","2","0","17","0"
"olimpia","2018-19","liga nacional","10","0","0","0","-","-","4","0","14","0"
"racing de cordoba","2018-19","torneo federal a","0","0","-","-","0","0","0","0","none","none"
"career total","career total","career total","44","0","4","0","0","0","6","0","54","0"
