"characteristic","poland","poland","vietnam","vietnam","middle east","middle east","other","other"
"characteristic","total immigrants","refugees","total immigrants","refugees","total immigrants","refugees","total immigrants","refugees"
"number","69,800","41,490","77,580","40,710","72,350","31,060","1,698,570","159,650"
"age group","","","","","","","",""
"30 to 44","37","33","48","46","51","55","50","55"
"45 to 59","52","59","36","46","36","36","35","37"
"60 or older","11","7","16","9","13","9","15","8"
"% male","48","59","48","60","53","57","47","54"
"immigrant category","","","","","","","",""
"refugee","59","..","52","..","43","..","9",".."
"government-assisted","..","29","..","57","..","47","..","38"
"privately sponsored","..","70","..","43","..","30","..","18"
"landed in canada","..","0","..","0","..","22","..","38"
"dependant","..","0","..","0","..","2","..","6"
"economic","28","..","37","..","15","..","37",".."
"family","11","..","10","..","34","..","48",".."
"other","1","..","0","..","8","..","6",".."
"landing year","","","","","","","",""
"1980 to 1991","75","92","74","93","27","32","35","35"
"1992 to 2006","25","8","26","7","73","68","65","66"
