"relationship type","female victims of 'casual acquaintance' homicides","female victims of 'casual acquaintance' homicides","female victims of 'casual acquaintance' homicides","female victims of 'casual acquaintance' homicides","female victims of 'casual acquaintance' homicides","female victims of 'casual acquaintance' homicides","female victims of 'casual acquaintance' homicides","female victims of 'casual acquaintance' homicides"
"relationship type","aboriginal","aboriginal","non-aboriginal","non-aboriginal","unknown","unknown","total","total"
"relationship type","number","percent","number","percent","number","percent","number","percent"
"homicides re-coded to pre-existing relationship types","21","11.9","103","18.4","2","16.7","126","16.8"
"family member","4","2.3","2","0.4","0","0.0","6","0.8"
"ex-boyfriend/girlfriend","0","0.0","1","0.2","0","0.0","1","0.1"
"close friend","2","1.1","12","2.1","0","0.0","14","1.9"
"neighbour","1","0.6","31","5.5","0","0.0","32","4.3"
"authority figure","1","0.6","6","1.1","0","0.0","7","0.9"
"extra-marital lover","0","0.0","0","0.0","1","8.3","1","0.1"
"other intimate relationship","6","3.4","16","2.9","0","0.0","22","2.9"
"business relationship","3","1.7","15","2.7","0","0.0","18","2.4"
"criminal relationship","4","2.3","19","3.4","1","8.3","24","3.2"
"stranger","0","0.0","1","0.2","0","0.0","1","0.1"
"homicides re-coded to new relationship types","88","49.7","170","30.4","6","50.0","264","35.3"
"other non-family household member","6","3.4","32","5.7","3","25.0","41","5.5"
"other institutional member","2","1.1","25","4.5","2","16.7","29","3.9"
"partner or ex-partner of family member","5","2.8","15","2.7","0","0.0","20","2.7"
"partner or ex-partner of victim's current or former sexual partner","6","3.4","8","1.4","0","0.0","14","1.9"
"reverse authority figure","1","0.6","8","1.4","0","0.0","9","1.2"
"co-substance user","67","37.9","68","12.2","1","8.3","136","18.2"
"family friend","0","0.0","8","1.4","0","0.0","8","1.1"
"casual friend","1","0.6","6","1.1","0","0.0","7","0.9"
"total homicides which remained reported as 'casual acquaintance'","68","38.4","286","51.2","4","33.3","358","47.9"
"total 'casual acquaintance' homicides","177","100.0","559","100.0","12","100.0","748","100.0"
