"","economic class","family class","government-assisted refugees","privately sponsored refugees","other refugees"
"","percent","percent","percent","percent","percent"
"initial destination","","","","",""
"montreal","17.8","13.1","5.6","5.0","20.4"
"toronto","34.0","39.0","15.9","28.9","52.3"
"vancouver","14.6","14.0","11.1","6.7","4.8"
"medium-sized census metropolitan areas","18.8","16.7","34.0","37.5","13.0"
"small census metropolitan areas","8.2","9.6","23.6","15.1","7.8"
"small urban areas","4.0","4.1","9.6","6.0","1.4"
"rural areas","2.7","3.5","0.4","0.9","0.3"
"source region","","","","",""
"western developed countries","7.9","11.8","0.1","0.0","0.3"
"caribbean and central america","3.2","9.3","0.5","0.2","12.9"
"south america","3.7","4.7","12.8","2.1","11.8"
"southern europe","0.9","1.9","1.6","0.5","1.6"
"eastern europe","8.4","5.4","7.0","0.9","5.8"
"africa","11.5","9.8","30.5","44.8","22.0"
"southern asia","18.7","25.5","6.7","2.6","23.1"
"southeast asia","15.4","10.2","5.6","1.4","1.0"
"east asia","21.7","14.2","0.2","0.1","9.8"
"west asia","8.6","6.8","35.3","47.5","11.6"
"others","0.1","0.4","0.0","0.0","0.3"
"highest level of education at landing","","","","",""
"less than high school","11.3","34.8","72.9","69.7","48.0"
"high school graduation","11.5","19.2","11.3","13.0","19.6"
"some postsecondary education","12.6","12.0","5.3","7.9","14.3"
"bachelor's degree or higher","64.6","34.0","10.5","9.4","18.1"
"knowledge of official languages","","","","",""
"neither english nor french","17.8","29.0","67.7","53.2","14.7"
"english and/or french","82.2","71.0","32.3","46.8","85.4"
