"type of population by municipality","total of the census metripolitan area","central city","peripheral city","central city-peripheral city difference"
"type of population by municipality","dissimilarity index","dissimilarity index","dissimilarity index","dissimilarity index"
"d","","","",""
"montreal","0.401","0.282","0.396","0.114"
"toronto","0.282","0.261","0.297","0.037"
"vancouver","0.274","0.233","0.284","0.050"
"d","","","",""
"montreal","0.456","0.365","0.441","0.076"
"toronto","0.389","0.364","0.408","0.045"
"vancouver","0.336","0.325","0.337","0.012"
