"","cchs respondents who linked to cmdb","cchs respondents who linked to cmdb","cmdb"
"","unweighted","weighted","cmdb"
"","%","%","%"
"province/territory","","",""
"newfoundland","2.9","1.9","1.9"
"prince edward island","2.3","0.5","0.5"
"nova scotia","4.9","3.8","3.6"
"new brunswick","4.2","2.7","2.7"
"quebec","18.4","24.9","24.3"
"ontario","31.6","36.5","37.0"
"manitoba","6.8","4.0","4.3"
"saskatchewan","7.3","3.6","3.9"
"alberta","8.0","8.2","8.4"
"british columbia","12.6","13.6","13.2"
"yukon","0.4","0.1","0.1"
"northwest territories","0.4","0.1","0.1"
"nunavut","0.3","0.0","0.0"
"sex","","",""
"male","50","53.8","50.5"
"female","50","46.2","49.5"
"age group","","",""
"12 to 24","0.9","1.1","1.2"
"25 to 34","1.1","1.4","1.2"
"35 to 44","2.8","3.6","2.6"
"45 to 54","6.8","9.2","6.0"
"55 to 64","13.6","15.3","10.6"
"65 to 74","25.0","24.0","17.7"
"75 or older","49.0","45.4","60.7"
"cause of death","","",""
"diseases of blood and blood-forming organs and certain disorders involving immune system","0.4","0.5","0.4"
"cancers","33.9","36.1","30.2"
"diseases of circulatory system","31.0","28.9","31.2"
"diseases of digestive system","4.0","3.8","3.9"
"endocrine, nutritional and metabolic diseases","4.1","3.9","4.2"
"external causes of morbidity and mortality","5.5","5.7","6.4"
"diseases of genitourinary system","2.3","2.4","2.2"
"certain infectious and parasitic diseases","1.7","2.0","1.8"
"congenital malformations, deformations and chromosomal abnormalities","0.1","0.2","0.2"
"mental and behavioural disorders","3.0","3.0","4.0"
"diseases of musculoskeleteral system and connective tissue","0.7","0.7","0.7"
"diseases of nervous system","3.4","3.7","4.8"
"diseases of respiratory system","8.6","8.3","8.6"
"diseases of skin and subcutaneous tissue","0.2","0.1","0.2"
"symptoms, signs and abnormal clinical and laboratory findings and chromosomal abnormalities","1.0","0.9","1.1"
"other causes","0.0","0.0","0.0"
