"club","division","season","league","league","cup","cup","continental","continental","other","other","total","total"
"club","division","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"fajr sepasi","pro league","2006-07","18","0","0","0","-","-","-","-","18","0"
"fajr sepasi","pro league","2007-08","24","1","0","0","-","-","-","-","24","1"
"fajr sepasi","fajr sepasi total","fajr sepasi total","42","1","0","0","0","0","0","0","42","1"
"pas hamedan","pro league","2008-09","15","0","4","0","-","-","-","-","19","0"
"pas hamedan","pro league","2009-10","29","0","0","0","-","-","-","-","29","0"
"pas hamedan","pas hamedan total","pas hamedan total","44","0","4","0","0","0","0","0","48","0"
"steel azin","pro league","2010-11","10","0","0","0","-","-","-","-","10","0"
"naft tehran","pro league","2011-12","32","0","0","0","-","-","-","-","32","0"
"naft tehran","pro league","2012-13","18","0","0","0","-","-","-","-","18","0"
"naft tehran","pro league","2013-14","7","0","2","0","-","-","-","-","9","0"
"naft tehran","naft tehran total","naft tehran total","57","0","2","0","0","0","0","0","59","0"
"foolad","pro league","2013-14","15","0","2","0","7","0","-","-","24","0"
"persepolis","pro league","2014-15","20","0","4","0","8","0","-","-","32","0"
"persepolis","pro league","2015-16","18","0","2","0","-","-","-","-","20","0"
"persepolis","persepolis total","persepolis total","38","0","6","0","8","0","0","0","52","0"
"mjøndalen","obos-ligaen","2016","12","0","0","0","-","-","1","0","13","0"
"strømsgodset","eliteserien","2017","1","0","0","0","-","-","-","-","1","0"
"mjøndalen","obos-ligaen","2017","12","0","2","0","-","-","2","0","16","0"
"sanat naft","pro league","2017-18","6","0","1","0","-","-","-","-","7","0"
"mjøndalen","obos-ligaen","2018","5","0","0","0","-","-","-","-","5","0"
"career total","career total","career total","242","1","17","0","15","0","3","0","277","1"
