"","being approachable and easy to talk to","ensuring safety of citizens","treating people fairly","enforcing the laws","promptly responding to calls","providing information on ways to prevent crime"
"","percent","percent","percent","percent","percent","percent"
"victim of crime","","","","","",""
"not a victim of crime in the past 12 months","70","65","59","54","54","48"
"victim of crime in the past 12 months","63","49","46","41","36","39"
"contact with police","","","","","",""
"contact with police in past 12 months","70","59","54","50","47","45"
"no contact with police in past 12 months","67","61","56","51","50","46"
"satisfaction with personal safety from crime","","","","","",""
"very satisfied","73","68","62","59","58","50"
"satisfied","67","60","54","48","47","46"
"neither satisfied nor dissatisfied","59","47","44","40","35","30"
"dissatisfied","64","38","30","34","30","40"
"very dissatisfied","f","f","f","f","f","f"
"neighbourhood crime compared to five years ago","","","","","",""
"increased","61","46","43","40","34","33"
"decreased","68","61","58","53","44","50"
"about the same","69","64","57","52","52","48"
"neighbourhood crime compared to other communities","","","","","",""
"higher","62","54","48","47","44","38"
"lower","70","63","58","52","52","49"
"about the same","67","56","49","48","43","38"
"social disorder","","","","","",""
"one or more big problems","63","51","45","44","38","38"
"one or more moderate problems","65","55","49","44","41","40"
"one or more small problems","69","63","58","54","52","48"
"no problems at all","74","69","64","56","60","54"
"total","68","61","55","51","49","46"
