"","expected length of life","expected length of life"
"","ex post","ex ante"
"","years","years"
"asset description and code","",""
"highways, roads, streets, including: logging road, signs, guardrail, lighting, etc","22.1","28.7"
"rail track and roadbeds including: signals and interlockers","39.9","26.5"
"telephone and cablevision lines, underground and marine cables","19.4","16.2"
"communication towers, antennae, earth stations","27.0","20.1"
"gas mains and services","43.0","42.3"
"bulk storage","24.9","26.4"
"mean, all assets","29.4","25.3"
