"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"bray wanderers","2012","league of ireland premier division","12","0","0","0","0","0","1","0","13","0"
"bray wanderers","total","total","12","0","0","0","0","0","1","0","13","0"
"reading","2012-13","premier league","0","0","0","0","0","0","0","0","0","0"
"reading","2013-14","efl championship","0","0","0","0","0","0","0","0","0","0"
"reading","2014-15","efl championship","0","0","0","0","0","0","0","0","0","0"
"reading","2015-16","efl championship","0","0","0","0","0","0","0","0","0","0"
"reading","total","total","0","0","0","0","0","0","0","0","0","0"
"exeter city","2016-17","efl league two","29","0","1","0","2","0","5","0","37","0"
"exeter city","2017-18","efl league two","40","8","4","1","1","0","4","0","49","9"
"exeter city","2018-19","efl league two","9","4","0","0","2","0","1","0","12","4"
"total","total","total","78","12","5","1","5","0","10","0","98","13"
"career total","career total","career total","90","12","5","1","5","0","11","0","111","13"
