"selected housing and neighbourhood characteristics","sense of safety walking alone in one's neighbourhood after dark","sense of safety walking alone in one's neighbourhood after dark","sense of safety walking alone in one's neighbourhood after dark","satisfaction with personal security from crime","satisfaction with personal security from crime","satisfaction with personal security from crime","satisfaction with personal security from crime"
"selected housing and neighbourhood characteristics","very safe","reasonably safe","somewhat or very unsafe","very satisfied","quite satisfied","neither satisfied nor dissatisfied","dissatisfied or very dissatisfied"
"selected housing and neighbourhood characteristics","percent","percent","percent","percent","percent","percent","percent"
"dwelling ownership","","","","","","",""
"owned","54","39","6","39","49","8","2"
"rented","45","42","12","33","52","9","4"
"type of dwelling","","","","","","",""
"single-family home","56","38","6","40","49","7","2"
"semi-detached or row house","46","45","8","34","52","10","3"
"duplex","48","39","12","33","52","10","5"
"apartment in building with fewer than five storeys","43","43","14","31","53","9","5"
"apartment in building with five storeys or more","38","48","14","35","52","9","3"
"other","58","35","6","38","48","7","5"
"location of dwelling","","","","","","",""
"census metropolitan area","48","43","8","36","51","9","3"
"census agglomeration","56","37","7","40","49","7","2"
"non-cma/ca","66","29","4","45","46","6","2"
"proportion of area residents living in an apartment","","","","","","",""
"low","62","35","3","43","47","6","2"
"average","53","40","7","38","50","8","2"
"high","41","46","13","33","52","10","4"
"proportion of lone-parent families in the neighbourhood","","","","","","",""
"low","61","35","4","44","47","6","2"
"average","53","40","7","38","50","8","3"
"high","41","45","13","31","53","10","4"
"proportion of recent immigrants in the neighbourhood","","","","","","",""
"low","62","33","5","43","47","7","2"
"average","52","41","7","39","50","8","2"
"high","41","46","12","30","54","10","4"
"proportion of neighbourhood residents belonging to a visible minority group","","","","","","",""
"low","63","32","4","43","47","6","2"
"average","51","41","7","38","50","8","3"
"high","41","46","12","31","54","10","4"
"proportion of owner-households in the neighbourhood","","","","","","",""
"low","43","44","13","33","52","10","4"
"average","53","40","7","38","50","8","3"
"high","59","37","4","41","49","7","2"
"proportion of neighbourhood families living below the low-income threshold","","","","","","",""
"low","58","37","5","42","48","7","2"
"average","52","41","6","38","50","8","3"
"high","44","43","13","32","52","9","4"
"proportion of neighbourhood residents living at the same address as five years previously","","","","","","",""
"low","44","45","11","33","53","10","4"
"average","52","40","8","37","50","8","3"
"high","60","36","4","43","48","7","2"
