"club","season","league","league","cup","cup","europe","europe","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals"
"beroe stara zagora","2005-06","24","1","2","0","-","-","26","1"
"beroe stara zagora","2006-07","27","5","2","0","-","-","29","5"
"beroe stara zagora","2007-08","13","2","1","0","-","-","14","2"
"beroe stara zagora","total","64","8","5","0","0","0","69","8"
"lokomotiv sofia","2007-08","5","0","0","0","0","0","5","0"
"lokomotiv sofia","2008-09","25","0","1","0","2","0","28","0"
"lokomotiv sofia","2009-10","13","0","0","0","-","-","13","0"
"lokomotiv sofia","total","43","0","1","0","2","0","46","0"
"ethnikos achna","2010-11","0","0","0","0","-","-","0","0"
"ethnikos achna","total","0","0","0","0","0","0","0","0"
"beroe stara zagora","2010-11","4","0","0","0","-","-","4","0"
"beroe stara zagora","2011-12","11","5","0","0","-","-","11","5"
"beroe stara zagora","total","15","5","0","0","0","0","15","5"
"career total","career total","121","13","6","0","2","0","129","13"
