"no","pos","nat","player","total","total","second division","second division","league cup","league cup","challenge cup","challenge cup","scottish cup","scottish cup"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"none","gk","scotland","stephen grindlay","38","0","33+0","0","1+0","0","3+0","0","1+0","0"
"none","gk","scotland","john wight","4","0","3+1","0","0+0","0","0+0","0","0+0","0"
"none","df","scotland","craig brittain","28","0","26+0","0","1+0","0","0+0","0","1+0","0"
"none","df","scotland","neil collins","38","3","33+0","3","1+0","0","3+0","0","1+0","0"
"none","df","scotland","michael dickie","27","0","20+3","0","1+0","0","1+1","0","1+0","0"
"none","df","scotland","neil duffy","27","1","23+0","0","0+0","0","3+0","1","1+0","0"
"none","df","scotland","kevin mccann","7","0","2+3","0","0+1","0","1+0","0","0+0","0"
"none","df","scotland","craig mcewan","28","0","21+2","0","1+0","0","2+1","0","1+0","0"
"none","df","scotland","john mckeown","16","0","12+4","0","0+0","0","0+0","0","0+0","0"
"none","df","scotland","dave stewart","25","0","16+4","0","1+0","0","3+0","0","0+1","0"
"none","mf","scotland","steven bonar","39","3","26+9","3","0+0","0","3+0","0","0+1","0"
"none","mf","scotland","mark crilly","17","0","12+2","0","1+0","0","2+0","0","0+0","0"
"none","mf","scotland","john dillon","40","9","34+1","7","1+0","0","3+0","2","1+0","0"
"none","mf","scotland","barry donald","7","1","3+4","1","0+0","0","0+0","0","0+0","0"
"none","mf","scotland","craig lynes","18","1","4+10","1","0+1","0","0+2","0","1+0","0"
"none","mf","nigeria","emeka obidile","14","3","9+5","3","0+0","0","0+0","0","0+0","0"
"none","fw","scotland","andy brown","33","4","19+10","4","1+0","0","3+0","0","0+0","0"
"none","fw","scotland","tom brown","30","2","23+4","1","0+0","0","3+0","1","0+0","0"
"none","fw","scotland","paddy flannery","31","8","18+9","8","0+0","0","3+0","0","1+0","0"
"none","fw","scotland","gary mccutcheon","32","8","23+8","8","1+0","0","0+0","0","0+0","0"
"none","fw","scotland","danny mckelvie","8","0","1+3","0","0+1","0","0+3","0","0+0","0"
"none","fw","scotland","joe robertson","15","0","4+9","0","0+0","0","0+1","0","1+0","0"
"none","fw","scotland","iain russell","11","4","8+3","4","0+0","0","0+0","0","0+0","0"
"none","fw","scotland","neil scally","29","5","23+4","5","1+0","0","0+0","0","1+0","0"
