"club","division","season","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","division","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"grimsby town","first division","1994-95","7","0","1","0","1","0","0","0","9","0"
"grimsby town","first division","1995-96","5","0","0","0","1","0","0","0","6","0"
"grimsby town","first division","1996-97","22","5","1","0","0","0","0","0","23","5"
"grimsby town","second division","1997-98","40","4","4","2","5","3","8","0","57","9"
"grimsby town","first division","1998-99","33","4","1","0","5","0","0","0","39","4"
"grimsby town","first division","1999-2000","26","4","2","0","5","3","0","0","33","7"
"grimsby town","total","total","133","17","9","2","17","6","8","0","167","25"
"doncaster rovers","third division","1996-97","11","1","0","0","0","0","0","0","11","1"
"nottingham forest","first division","1999-2000","15","2","0","0","0","0","0","0","15","2"
"nottingham forest","first division","2000-01","19","7","0","0","0","0","0","0","19","7"
"nottingham forest","first division","2001-02","32","5","1","0","2","1","0","0","35","6"
"nottingham forest","first division","2002-03","33","7","0","0","1","2","1","0","35","9"
"nottingham forest","total","total","99","21","1","0","3","3","1","0","104","24"
"sheffield united","first division","2003-04","32","12","2","1","2","2","0","0","36","15"
"sheffield united","championship","2004-05","12","0","0","0","2","1","0","0","14","1"
"sheffield united","total","total","44","12","2","1","4","3","0","0","50","16"
"nottingham forest","championship","2004-05","3","1","0","0","0","0","0","0","3","1"
"nottingham forest","league one","2005-06","38","5","2","0","0","0","0","0","40","5"
"nottingham forest","league one","2006-07","35","6","4","0","1","0","5","1","45","7"
"nottingham forest","total","total","76","12","6","0","1","0","5","1","88","13"
"chesterfield","league two","2007-08","36","23","1","1","1","1","0","0","38","25"
"chesterfield","league two","2008-09","37","20","3","2","1","0","1","1","42","23"
"chesterfield","league two","2009-10","29","11","1","1","0","0","3","0","33","12"
"chesterfield","league two","2010-11","40","17","1","0","1","0","1","0","43","17"
"chesterfield","league one","2011-12","21","3","0","0","1","0","3","1","25","4"
"chesterfield","league two","2012-13","34","9","2","1","1","1","1","0","38","11"
"chesterfield","total","total","197","83","8","5","5","2","9","2","219","92"
"gateshead","conference premier","2013-14","8","2","0","0","0","0","1","1","9","3"
"career totals","career totals","career totals","568","148","26","8","30","14","24","4","648","174"
