"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"aston villa","2000-01","premier league","0","0","0","0","0","0","0","0"
"aston villa","2002-03","premier league","13","1","0","0","4","0","17","1"
"aston villa","2003-04","premier league","8","1","1","0","3","0","12","1"
"aston villa","2004-05","premier league","1","0","0","0","0","0","1","0"
"aston villa","2005-06","premier league","0","0","0","0","0","0","0","0"
"aston villa","total","total","22","2","1","0","7","0","30","2"
"chesterfield","2001-02","second division","2","0","0","0","1","0","3","0"
"millwall","2004-05","championship","6","0","0","0","1","0","7","0"
"leicester city","2004-05","championship","7","0","0","0","0","0","7","0"
"queens park rangers","2005-06","championship","25","2","1","0","1","0","27","2"
"queens park rangers","2006-07","championship","3","0","0","0","0","0","3","0"
"queens park rangers","2007-08","championship","11","1","0","0","1","0","12","1"
"queens park rangers","total","total","39","3","1","0","2","0","42","3"
"port vale","2006-07","league one","12","1","1","0","2","0","15","1"
"walsall","2007-08","second division","5","1","0","0","0","0","5","1"
"kidderminster harriers","2008-09","conference national","16","1","3","1","0","0","19","2"
"halesowen town","2009-10","southern league premier division","41","34","0","0","3","4","44","38"
"halesowen town","2010-11","southern league premier division","8","4","0","0","0","0","8","4"
"halesowen town","total","total","49","38","0","0","3","4","52","42"
"st neots town","2010-11","united counties league premier division","24","26","0","0","6","9","30","35"
"st neots town","2011-12","southern league division one central","38","33","1","0","8","7","47","40"
"st neots town","2012-13","southern league division one central","18","9","2","1","1","0","21","10"
"st neots town","total","total","80","68","3","1","15","16","98","85"
"leamington","2012-13","southern league premier division","24","13","0","0","3","1","27","14"
"leamington","2013-14","conference north","18","11","0","0","5","2","23","13"
"leamington","total","total","42","24","0","0","8","3","50","27"
"brackley town","2013-14","conference north","19","12","0","0","0","0","19","12"
"leamington","2014-15","conference north","19","8","3","0","2","1","24","9"
"solihull moors","2014-15","conference north","23","1","0","0","0","0","23","1"
"solihull moors","2015-16","national league north","32","12","0","0","0","0","32","12"
"solihull moors","2016-17","national league","9","0","0","0","0","0","9","0"
"solihull moors","total","total","64","13","0","0","0","0","64","13"
"brackley town","2016-17","national league north","1","0","1","0","0","0","2","0"
"leamington","2016-17","southern league premier division","6","0","0","0","2","0","8","0"
"leamington","2017-18","national league north","10","2","0","0","0","0","10","2"
"leamington","2018-19","national league north","0","0","0","0","0","0","0","0"
"leamington","total","total","16","2","0","0","2","0","18","2"
"tamworth","2018-19","southern league premier central","3","0","0","0","2","0","5","0"
"career total","career total","career total","402","173","13","2","45","24","460","199"
