"sex/age group","household population","household population","household population","household population","household population","household population","household population","household population","household population","household population","household population","household population","institutional population","institutional population"
"sex/age group","1994/1995","1994/1995","1998/1999","1998/1999","2001","2001","2005","2005","2009/2010","2009/2010","2015","2015","1994/1995","1994/1995"
"sex/age group","mean","se","mean","se","mean","se","mean","se","mean","se","mean","se","mean","se"
"males","","","","","","","","","","","","","",""
"15 to 24","0.889","0.007","0.940","0.005","0.915","0.002","0.897","0.005","0.913","0.002","0.892","0.006","0.556","0.192"
"25 to 34","0.900","0.006","0.943","0.004","0.919","0.003","0.915","0.004","0.916","0.003","0.902","0.004","0.193","0.060"
"35 to 44","0.897","0.006","0.922","0.006","0.903","0.002","0.900","0.006","0.904","0.003","0.898","0.004","0.331","0.050"
"45 to 54","0.872","0.007","0.894","0.006","0.879","0.003","0.883","0.007","0.882","0.003","0.873","0.004","0.308","0.081"
"55 to 64","0.847","0.010","0.873","0.008","0.858","0.004","0.861","0.007","0.865","0.004","0.852","0.006","0.345","0.072"
"65 to 74","0.816","0.010","0.806","0.011","0.832","0.004","0.856","0.007","0.850","0.003","0.849","0.006","0.219","0.038"
"75 to 84","0.753","0.019","0.740","0.023","0.753","0.008","0.771","0.013","0.788","0.006","0.782","0.010","0.146","0.024"
"85 or older","0.592","0.053","0.644","0.056","0.591","0.019","0.619","0.042","0.627","0.024","0.614","0.033","0.170","0.030"
"females","","","","","","","","","","","","","",""
"15 to 24","0.882","0.007","0.933","0.004","0.907","0.002","0.895","0.005","0.906","0.003","0.872","0.005","0.584","0.181"
"25 to 34","0.895","0.006","0.912","0.009","0.908","0.002","0.904","0.005","0.918","0.002","0.900","0.004","0.138","0.070"
"35 to 44","0.889","0.006","0.910","0.005","0.888","0.002","0.898","0.005","0.898","0.003","0.878","0.005","0.155","0.065"
"45 to 54","0.839","0.009","0.875","0.009","0.862","0.003","0.874","0.005","0.863","0.004","0.850","0.007","0.305","0.079"
"55 to 64","0.828","0.009","0.849","0.009","0.845","0.003","0.850","0.006","0.849","0.003","0.836","0.006","0.265","0.070"
"65 to 74","0.787","0.014","0.823","0.009","0.826","0.004","0.836","0.007","0.832","0.003","0.825","0.006","0.196","0.038"
"75 to 84","0.708","0.016","0.727","0.016","0.729","0.006","0.758","0.012","0.762","0.006","0.762","0.009","0.157","0.025"
"85 or older","0.571","0.036","0.572","0.033","0.588","0.014","0.584","0.028","0.629","0.012","0.620","0.019","0.097","0.016"
