"club","season","division","league","league","national cup","national cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"hibernian","1977-78","scottish premier division","6","0","0","0","2","1","8","1"
"rangers","1975-76","scottish premier division","26","10","5","3","4","0","35","13"
"rangers","1976-77","scottish premier division","7","0","0","0","5","1","12","1"
"rangers","1977-78","scottish premier division","0","0","0","0","2","0","2","0"
"rangers","total","total","33","10","5","3","11","1","49","14"
"philadelphia fury","1978","nasl","17","3","-","-","-","-","17","3"
"leicester city","1978-79","second division","33","4","2","2","0","0","35","6"
"leicester city","1979-80","second division","36","5","2","1","2","0","40","6"
"leicester city","1980-81","first division","22","3","1","1","2","0","24","4"
"leicester city","total","total","91","12","5","4","4","0","100","16"
"chesterfield","1981-82","third division","44","13","2","1","1","0","47","14"
"chesterfield","1982-83","third division","40","10","1","0","5","0","46","10"
"chesterfield","1983-84","fourth division","3","0","0","0","1","0","4","0"
"chesterfield","total","total","87","23","3","1","7","0","97","24"
"port vale","1983-84","third division","27","7","1","0","0","0","28","7"
"career total","career total","career total","261","55","14","8","24","2","299","65"
