"","name","term","regular season","regular season","regular season","regular season","regular season","regular season","playoffs","playoffs","playoffs","playoffs","achievements","reference"
"","name","term","gc","w","l","t/ot","pts","win%","gc","w","l","win%","achievements","reference"
"1","lynn patrick","1967","16","4","10","2","10",".313","-","-","-","-","none","none"
"2","scotty bowman","1967-1970","210","97","79","40","234",".557","46","24","22",".522","none","none"
"3","al arbour","1970-1971","50","21","15","14","56",".560","-","-","-","-","none","none"
"-","scotty bowman","1971","28","13","10","5","31",".553","6","2","4",".333","none","none"
"4","sid abel","1971","10","3","6","1","7",".350","-","-","-","-","none","none"
"5","bill mccreary, sr","1971","24","6","14","4","16",".333","-","-","-","-","none","none"
"-","al arbour","1971-1972","57","21","25","11","53",".447","11","4","7",".364","none","none"
"6","jean-guy talbot","1972-1974","120","52","53","15","119",".496","5","1","4",".200","none","none"
"7","lou angotti","1974","32","6","20","6","18",".281","-","-","-","-","none","none"
"-","lynn patrick","1974","2","1","0","1","3",".750","-","-","-","-","none","none"
"8","garry young","1974-1975","98","41","41","16","98",".500","2","0","2",".000","none","none"
"-","lynn patrick","1975-1976","8","3","5","0","6",".375","-","-","-","-","none","none"
"9","leo boivin","1976","43","17","17","9","43",".500","3","1","2",".333","none","none"
"10","emile francis","1976-1977","80","32","39","9","73",".456","4","0","4",".000","none","none"
"-","leo boivin","1977-1978","80","20","47","13","53",".331","-","-","-","-","none","none"
"11","barclay plager","1978-1979","104","25","64","15","65",".310","-","-","-","-","none","none"
"12","red berenson","1979-1982","204","100","72","32","232",".569","14","5","9",".357","1980-81 jack adams award winner","none"
"-","emile francis","1982-1982","44","14","25","5","33",".375","10","5","5",".500","none","none"
"-","barclay plager","1982-1983","48","15","21","12","42",".438","4","1","3",".250","none","none"
"13","jacques demers","1983-1986","240","106","106","28","240",".500","33","16","17",".485","none","none"
"14","jacques martin","1986-1988","160","66","71","23","155",".484","16","7","9",".438","none","none"
"15","brian sutter","1988-1992","320","153","124","43","349",".545","41","20","21",".488","1990-91 jack adams award winner","none"
"16","bob plager","1992","11","4","6","1","9",".409","-","-","-","-","none","none"
"17","bob berry","1992-1994","157","73","63","21","167",".532","15","7","8",".467","none","none"
"18","mike keenan","1994-1996","163","75","66","22","172",".528","20","10","10",".500","none","none"
"19","jim roberts","1996-1997","9","3","3","3","9",".500","-","-","-","-","none","none"
"20","joel quenneville","1997-2004","593","307","191","95","709",".598","68","34","34",".500","1999-2000 jack adams award winner","none"
"21","mike kitchen","2004-2006","131","38","70","23","99",".378","-","-","-","-","none","none"
"22","andy murray","2006-2010","258","118","102","38","274",".531","4","0","4",".000","none","none"
"23","davis payne","2010-2011","137","67","55","15","149",".544","-","-","-","-","none","none"
"24","ken hitchcock","2011-2017","413","248","124","41","537",".650","45","20","25",".444","2011-12 jack adams award winner","none"
"25","mike yeo","2017-2018","133","73","49","11","157",".590","-","-","-","-","none","none"
"26","craig berube","2018-present","0","0","0","0","0","-","none","none","none","none","none","none"
