"age group","population","persons with disabilities","persons without disabilities","prevalence of disability"
"age group","number","number","number","percent"
"total-aged 15 or older","27,516,200","3,775,910","23,740,290","13.7"
"15 to 64 years","23,187,350","2,338,240","20,849,110","10.1"
"15 to 24 years","4,462,850","195,720","4,267,130","4.4"
"25 to 44 years","9,159,860","598,680","8,561,180","6.5"
"45 to 64 years","9,564,640","1,543,840","8,020,800","16.1"
"65 years or older","4,328,850","1,437,670","2,891,180","33.2"
"65 to 74 years","2,486,790","653,900","1,832,880","26.3"
"75 years or older","1,842,070","783,770","1,058,300","42.5"
