"","canada","united states"
"","proportion","proportion"
"female","0.470","0.484"
"ages","",""
"25 to 29","0.120","0.140"
"30 to 34","0.135","0.122"
"35 to 39","0.123","0.131"
"40 to 44","0.134","0.128"
"45 to 49","0.139","0.141"
"50 to 54","0.153","0.140"
"55 to 59","0.117","0.107"
"60 to 65","0.079","0.090"
"immigrant","0.265","0.162"
"holds no postsecondary credential","0.279","0.461"
"holds a non-university postsecondary credential","0.398","0.197"
"holds a university credential","0.323","0.342"
"","mean","mean"
"literacy","278.3","274.4"
"numeracy","271.7","260.6"
"","number","number"
"sample size","16,589","2,958"
