"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","album"
"year","single","us","us r&b","nz","ger","aut","swi","ned","bel","swe","nor","ire","uk","album"
"1974","rock your baby","1","1","34","1","1","1","1","1","-","1","3","1","rock your baby"
"1974","i can't leave you alone","50","10","-","3","11","-","4","3","-","-","-","9","rock your baby"
"1974","you can have it all","-","-","-","-","-","-","-","-","-","-","-","23","rock your baby"
"1975","i get lifted","37","8","-","-","-","-","-","-","-","-","-","-","rock your baby"
"1975","look at you","95","31","-","-","-","-","-","-","-","-","-","-","rock your baby"
"1975","sing a happy song","-","-","-","13","-","-","-","27","-","-","-","38","george mccrae"
"1975","it's been so long","-","-","-","27","-","-","-","-","-","-","4","4","george mccrae"
"1975","i ain't lyin'","-","31","-","35","-","-","-","-","-","-","-","12","george mccrae"
"1976","honey i","65","18","-","-","-","-","-","-","20","-","-","33","george mccrae"
"1976","love in motion","-","-","-","-","-","-","-","-","-","-","-","-","diamond touch"
"1977","i'm gonna stay with my baby tonight","-","-","-","-","-","-","-","-","-","-","-","-","diamond touch"
"1977","kiss me the way i like it","110","57","-","-","-","-","-","-","-","-","-","-","george mccrae"
"1978","let's dance","-","93","-","-","-","-","-","-","-","-","-","-","george mccrae"
"1978","(you've got) my love, my life, my soul","-","-","-","-","-","-","-","-","-","-","-","-","we did it!"
"1978","i want you around me","-","91","-","-","-","-","-","-","-","-","-","-","we did it!"
"1979","don't you feel my love","-","-","-","-","-","-","-","-","-","-","-","-","we did it!"
"1984","one step closer","-","-","-","-","-","-","-","19","-","-","-","57","one step closer to love"
"1984","listen to your heart","-","-","-","-","-","-","-","-","-","-","-","-","one step closer to love"
"1984","never too late","-","-","-","-","-","-","-","-","-","-","-","-","one step closer to love"
"1984","own the night","-","-","-","-","-","-","-","-","-","-","-","-","own the night"
"1985","let's dance / never forgot your eyes","-","-","-","-","-","-","-","-","-","-","-","-","singles only"
"1986","rock your baby","-","-","-","-","-","-","-","-","-","-","-","92","singles only"
"1987","that's love","-","-","-","-","-","-","-","-","-","-","-","-","i feel love for you"
"1987","girls don't lie","-","-","-","-","-","-","-","-","-","-","-","-","i feel love for you"
"1988","nice and slow","-","-","-","-","-","-","-","-","-","-","-","-","singles only"
"1989","rock me all the way","-","-","-","-","-","-","-","-","-","-","-","-","singles only"
"1990","breathless","-","-","-","-","-","-","-","-","-","-","-","-","with all my heart"
"1991","calling love","-","-","-","-","-","-","-","-","-","-","-","-","with all my heart"
"1991","take this love of mine","-","-","-","-","-","-","-","-","-","-","-","-","with all my heart"
"1994","all around the world","-","-","-","-","-","-","-","-","-","-","-","-","single only"
"1995","do something","-","-","-","82","-","-","-","-","-","-","-","-","do something"
"1995","wanna be your lover","-","-","-","-","-","-","-","-","-","-","-","-","do something"
"1996","little things softly","-","-","-","-","-","-","-","-","-","-","-","-","do something"
"2009","it's been so long 2009","-","-","-","-","-","-","-","-","-","-","-","-","time for a change"
""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released"
