"","percentage weighted","1. prospects","1. prospects","2. work intensity","2. work intensity","3. working-time quality","3. working-time quality","3. working-time quality","4. skills and discretion","4. skills and discretion","4. skills and discretion","4. skills and discretion","5. social environment","5. social environment","5. social environment","5. social environment","6. income and benefits","6. income and benefits","6. income and benefits","6. income and benefits","6. income and benefits","6. income and benefits","6. income and benefits","6. income and benefits"
"","percentage weighted","might lose job in next six months","job offers good advancement prospects","workload not often manageable","often cannot finish work in regular hours","involuntary irregular schedule","flexible start/end hours","can take time off for personal reasons","can decide sequence of tasks","have opportunities to provide input","paid formal training","informal training","verbal abuse, sexual harassment, threats, humiliation, or physical violence","support from managers","had formal job performance evaluation","have formal employee representation body","workplace pension plan","paid sick leave","paid vacation leave","disability insurance","supplemental medical/dental care","workers' compensation","maternity, parental or layoff benefits","mean hourly earnings"
"","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","dollars"
"overall","100.0","10.5","51.7","26.2","25.2","12.1","41.5","71.2","66.4","77.0","41.5","56.1","15.1","63.8","58.5","32.1","39.0","42.4","56.1","42.3","46.6","49.6","42.4","26.8"
"","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","dollars"
"sex","","","","","","","","","","","","","","","","","","","","","","","",""
"men","52.9","1.0","2.5","-1.2","-1.0","-0.3","1.4","2.4","-1.0","1.5","1.5","-0.6","-2.7","2.1","-0.6","-2.2","1.5","-0.4","1.8","3.1","3.5","3.9","0.2","1.9"
"women","47.1","-1.2","-2.7","1.3","1.1","0.3","-1.5","-2.6","1.2","-1.7","-1.6","0.7","3.1","-2.3","0.6","2.3","-1.7","0.4","-1.9","-3.4","-3.8","-4.3","-0.3","-1.9"
"age group","","","","","","","","","","","","","","","","","","","","","","","",""
"18 to 29","22.5","1.4","5.6","-4.0","-7.7","6.3","-3.2","-7.0","-6.2","-1.5","0.9","5.7","2.2","2.0","-17.0","-8.8","-7.9","-7.2","-2.8","-10.5","-9.2","-4.0","-6.0","-6.0"
"30 to 44","33.6","-0.5","3.4","2.4","3.5","-0.8","1.3","0.8","0.8","2.4","3.4","1.7","1.5","-0.2","5.6","1.2","2.9","3.4","1.9","4.6","4.7","1.3","4.7","1.8"
"45 to 59","33.9","-0.6","-5.1","2.2","2.6","-2.3","0.9","2.9","2.0","-1.5","-1.6","-3.0","-1.2","-0.7","6.5","5.1","3.3","2.3","0.1","3.9","2.6","1.4","1.0","2.0"
"60 or older","10.1","0.6","-10.8","-7.0","-2.8","-3.5","0.5","5.6","4.3","0.3","-10.8","-12.6","-6.1","-2.3","0.9","0.8","-2.4","-2.4","0.0","-4.1","-3.2","0.6","-6.5","-0.7"
"education","","","","","","","","","","","","","","","","","","","","","","","",""
"high school or less","29.8","0.3","-1.2","-3.1","-6.7","2.7","-5.3","-2.8","-4.1","-3.4","-7.0","-7.2","-2.3","2.9","-11.5","-6.6","-5.6","-9.0","-1.9","-5.7","-5.7","0.9","-5.3","-5.8"
"some postsecondary education","36.2","0.2","-1.3","-0.1","-2.9","1.0","-4.7","-0.2","-1.5","-0.2","0.7","-2.7","0.4","-2.2","0.5","2.3","2.2","2.6","5.1","3.3","3.8","4.0","3.4","-1.4"
"university degree","33.9","-0.6","2.4","2.8","9.2","-3.5","9.8","2.6","5.0","2.9","5.4","9.5","1.6","-0.5","9.7","3.6","2.3","4.5","-4.2","1.1","0.6","-5.3","0.9","6.7"
"visible minority","","","","","","","","","","","","","","","","","","","","","","","",""
"yes","21.9","-0.0","7.3","0.0","-3.4","2.0","5.2","-2.0","-0.3","-0.5","-2.8","-3.6","-1.4","-1.3","-1.5","-4.3","-1.3","0.9","-0.7","-4.3","-1.2","-6.1","-2.6",".."
"no","78.1","-0.1","-2.2","-0.1","0.9","-0.6","-1.5","0.5","0.2","0.1","0.9","1.1","0.4","0.5","0.4","1.3","0.7","-0.1","0.5","1.4","0.6","2.0","0.9",".."
