"year","team","games","games","passing","passing","passing","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"year","team","gp","gs","cmp","att","pct","yds","avg","lng","td","int","rate","att","yds","avg","lng","td","fum","lost"
"2011","cin","16","16","300","518","58.1","3,398","6.6","84","20","13","80.4","37","152","4.1","17","1","4","2"
"2012","cin","16","16","329","528","64.7","3,669","6.9","59","27","16","87.4","47","120","2.6","17","4","4","4"
"2013","cin","16","16","363","586","61.9","4,293","7.3","82","33","20","88.8","61","183","3.0","12","2","4","3"
"2014","cin","16","16","309","481","64.2","3,398","7.1","81","19","17","83.5","60","169","2.8","20","4","3","2"
"2015","cin","13","13","255","386","66.1","3,250","8.4","80","25","7","106.2","57","142","2.5","12","3","5","2"
"2016","cin","16","16","364","563","64.7","4,206","7.5","86","18","8","91.8","46","184","4.0","15","4","9","3"
"2017","cin","16","16","297","496","59.9","3,320","6.7","77","25","12","86.6","38","99","2.6","25","0","4","4"
"2018","cin","11","11","226","365","61.0","2,566","7.0","49","21","11","89.6","16","99","6.2","21","0","1","0"
"career","career","120","120","2,443","3,921","62.3","28,100","7.2","86","188","104","88.8","362","1,148","3.2","25","18","33","20"
