"team","year","national league","national league","national league","leinster","leinster","all-ireland","all-ireland","total","total"
"team","year","division","apps","score","apps","score","apps","score","apps","score"
"offaly","2002","division 1b","5","0-08","1","0-02","2","0-04","8","0-14"
"offaly","2003","division 1b","7","2-23","1","0-02","3","0-08","11","2-33"
"offaly","2004","division 1b","7","0-11","3","1-10","0","0-00","10","1-21"
"offaly","2005","division 2a","7","0-22","1","0-04","3","1-21","11","1-47"
"offaly","2006","division 1a","6","3-47","2","0-08","3","0-16","11","3-71"
"offaly","2007","division 1a","6","0-13","2","0-04","3","1-09","11","1-26"
"offaly","2008","division 1b","5","2-23","2","0-22","2","0-15","9","2-60"
"offaly","2009","division 2","7","0-27","1","0-03","2","0-15","10","0-45"
"offaly","2010","division 1","7","0-11","3","0-08","2","0-03","12","0-22"
"offaly","2011","division 1","7","0-20","1","0-00","1","0-00","9","0-20"
"offaly","2012","division 1b","-","-","1","0-02","1","0-01","2","0-03"
"offaly","2013","division 1b","5","0-05","1","0-01","1","0-02","7","0-08"
"offaly","2014","division 1b","7","0-27","1","1-10","1","0-04","9","1-41"
"offaly","2015","division 1b","4","0-06","1","0-03","1","0-00","6","0-09"
"career total","career total","career total","80","7-243","21","2-79","25","2-98","126","11-420"
