"clearance status","same-sex","same-sex","same-sex","same-sex","opposite-sex","opposite-sex","opposite-sex","opposite-sex"
"clearance status","females","females","males","males","females","females","males","males"
"clearance status","number","percent","number","percent","number","percent","number","percent"
"cleared by charge","6,077","61","8,345","68","79,644","71","436,097","84"
"cleared otherwise","3,898","39","4,003","32","32,091","29","81,329","16"
"victim/complainant requests no further action","2,110","21","2,307","19","13,574","12","36,733","7"
"reasons beyond the control of department","592","6","814","7","10,022","9","23,326","5"
"departmental discretion","1,035","10","737","6","7,731","7","18,021","3"
"other","161","2","145","1","764","1","3,249","1"
"total","9,975","100","12,348","100","111,735","100","517,426","100"
