"type of offence","2017r","2017r","2018","2018","change in rate 2017 to 2018","change in rate 2008 to 2018"
"type of offence","number","rate","number","rate","percent","percent"
"total drug offences","92,986","254","83,483","225","-11","-27"
"cannabis - possession","38,779","106","26,194","71","-33","-53"
"cannabis - trafficking","5,940","16","3,349","9","-44","-64"
"cannabis - production or importation/exportation","5,028","14","4,898","13","-4","-33"
"cannabis (cannabis act) - possession","..","..","458","1","..",".."
"cannabis (cannabis act) - distribution","..","..","175","0","..",".."
"cannabis (cannabis act) - sale","..","..","236","1","..",".."
"cannabis (cannabis act) - importation or exportation","..","..","308","1","..",".."
"cannabis (cannabis act) - production","..","..","98","0","..",".."
"cannabis (cannabis act) - other","..","..","179","0","..",".."
"cocaine - possession","7,161","20","6,903","19","-5","-41"
"cocaine - trafficking","6,546","18","6,839","18","3","-44"
"cocaine - production or importation/exportation","321","1","583","2","79","45"
"methamphetamine - possession","9,360","26","10,400","28","10",".."
"methamphetamine - trafficking","2,409","7","2,680","7","10",".."
"methamphetamine - production or importation/exportation","152","0","523","1","239",".."
"ecstasy - possession","302","1","283","1","-8",".."
"ecstasy - trafficking","83","0","126","0","50",".."
"ecstasy - production or importation/exportation","158","0","778","2","386",".."
"heroin - possession","2,242","6","2,291","6","1","309"
"heroin - trafficking","943","3","848","2","-11","207"
"heroin - production or importation/exportation","93","0","198","1","110","255"
"opioids (not heroin) - possession","148","0","1,474","4","..",".."
"opioids (not heroin) - trafficking","117","0","941","3","..",".."
"opioids (not heroin) - production or importation/exportation","15","0","75","0","..",".."
"other drugs - possession","7,767","21","7,079","19","..",".."
"other drugs - trafficking","3,633","10","3,392","9","..",".."
"other drugs - production or importation/exportation or other","1,789","5","2,175","6","..",".."
