"club","season","league","league","league","federation cup","federation cup","durand cup","durand cup","afc","afc","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"sporting goa","2011","i-league 2nd division","0","0","0","0","0","0","-","-","0","0"
"sporting goa","2011-12","i-league","4","3","0","0","0","0","-","-","4","3"
"sporting goa","2012-13","i-league","21","4","1","1","2","1","-","-","24","6"
"sporting goa","2013-14","i-league","16","3","5","4","0","0","-","-","21","7"
"sporting goa","2014-15","i-league","14","3","4","3","0","0","-","-","18","6"
"sporting goa","2015-16","i-league","8","2","4","0","0","0","-","-","12","2"
"fc goa","2015","indian super league","3","0","-","-","-","-","-","-","3","0"
"mumbai","2016-17","indian super league","2","1","-","-","-","-","-","-","2","1"
"career total","career total","career total","68","16","14","8","2","1","-","-","84","25"
