"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"cambridge united","1975-76","fourth division","12","3","0","0","2","1","0","0","14","4"
"cambridge united","1976-77","fourth division","46","19","1","0","3","1","0","0","50","20"
"cambridge united","1977-78","third division","44","21","2","2","3","1","0","0","49","20"
"cambridge united","1978-79","second division","41","19","1","1","2","1","0","0","44","21"
"cambridge united","1979-80","second division","22","12","1","0","2","0","3","1","28","13"
"cambridge united","total","total","165","74","5","3","12","4","3","1","185","82"
"derby county","1979-80","first division","18","9","0","0","0","0","0","0","18","9"
"derby county","1980-81","second division","29","10","2","0","2","0","0","0","33","10"
"derby county","total","total","47","19","2","0","2","0","0","0","51","19"
"everton","1981-82","first division","19","3","0","0","2","0","0","0","21","3"
"stoke city","1981-82","first division","8","1","0","0","0","0","0","0","8","1"
"portsmouth","1982-83","second division","46","22","2","2","2","1","0","0","50","26"
"portsmouth","1983-84","second division","37","16","2","0","4","2","0","0","43","26"
"portsmouth","1984-85","second division","22","12","0","0","4","1","0","0","26","13"
"portsmouth","total","total","105","50","4","2","10","4","0","0","119","65"
"brighton & hove albion","1984-85","second division","13","4","0","0","0","0","0","0","13","4"
"brighton & hove albion","1985-86","second division","22","4","2","0","3","1","0","0","27","5"
"brighton & hove albion","total","total","35","8","2","0","3","1","0","0","40","9"
"cambridge united","1986-87","fourth division","3","0","2","1","1","0","1","0","7","1"
"panionios","1987-88","alpha ethniki","2","0","0","0","0","0","0","0","2","0"
"waterford united","1988-89","league of ireland","2","0","0","0","0","0","0","0","2","0"
"career total","career total","career total","386","155","16","6","30","9","4","1","436","171"
