"characteristics","sexual assault","sexual assault","robbery","robbery","physical assault","physical assault","total violent victimization","total violent victimization","theft of personal property","theft of personal property"
"characteristics","number","rate","number","rate","number","rate","number","rate","number","rate"
"sex","","","","","","","","","",""
"male","80","5","113","8","786","54","979","67","1,085","75"
"female","553","37","77","5","636","43","1,266","85","1,069","72"
"age groups","","","","","","","","","",""
"15 to 24","321","71","82","18","334","74","737","163","495","110"
"25 to 34","159","32","37","8","388","78","585","118","479","97"
"35 to 44","49","10","f","f","257","55","319","68","446","95"
"45 to 54","69","13","30","6","261","50","360","69","382","73"
"55 to 64","18","4","f","f","139","30","177","38","232","50"
"65 and over","f","f","f","f","43","8","68","13","121","23"
"marital status","","","","","","","","","",""
"married","83","6","33","2","470","32","585","40","916","62"
"common-law","f","f","f","f","235","73","303","94","282","88"
"single","461","57","114","14","553","68","1,128","139","783","97"
"widowed","f","f","f","f","13","9","22","16","27","19"
"separated/divorced","37","20","19","10","150","79","207","108","146","77"
"main activity","","","","","","","","","",""
"employed","240","14","89","5","973","58","1,302","78","1,387","83"
"looking for paid work","f","f","f","f","48","107","75","165","43","95"
"student","260","73","59","16","202","56","521","146","380","106"
"household work","31","18","f","f","78","47","119","72","137","82"
"retired","f","f","f","f","54","9","88","15","168","29"
"other","f","f","f","f","53","61","90","104","33","39"
"aboriginal identity","","","","","","","","","",""
"non-aboriginal people","577","20","175","6","1,337","47","2,089","74","2,055","72"
"aboriginal people","54","58","f","f","81","87","149","160","95","102"
"first nation","f","f","f","f","59","135","95","216","33","75"
"metis","f","f","f","f","23","50","55","119","61","131"
"immigrant status","","","","","","","","","",""
"non-immigrant","564","25","167","7","1,222","54","1,953","86","1,832","80"
"immigrant","69","10","23","3","200","30","292","44","322","49"
"recent immigrant","f","f","f","f","37","25","59","40","66","45"
"immigrated before 2005","50","10","20","4","163","32","233","45","256","50"
"visible minority","","","","","","","","","",""
"non-visible minority","498","21","155","7","1,267","53","1,920","80","1,843","77"
"visible minority","104","21","f","f","133","27","271","55","292","59"
"sexual orientation","","","","","","","","","",""
"heterosexual","443","17","136","5","1,245","47","1,824","69","1,915","72"
"homosexual or bisexual","74","102","f","f","57","79","150","207","67","93"
"homosexual","f","f","f","f","24","69","49","142","32","92"
"bisexual","57","151","f","f","33","88","100","267","35","94"
