"","percentage of gig workers","percentage of gig workers","prevalence of gig workers","prevalence of gig workers"
"","men","women","men","women"
"","percent","percent","prevalence","prevalence"
"tax data","","","",""
"age","","","",""
"younger than 25","8.5","6.9","4.5","4.5"
"25 to 34","19.0","20.7","7.0","9.3"
"35 to 44","19.2","22.6","7.4","10.6"
"45 to 54","20.0","21.8","7.3","9.5"
"55 to 64","19.0","18.6","7.7","9.6"
"65 and older","14.3","9.3","10.0","11.8"
"marital status","","","",""
"married or common-law","62.4","61.8","7.6","10.1"
"widowed, divorced or separated","8.7","13.7","8.6","10.7"
"single","28.9","24.5","6.2","7.0"
"region of residence","","","",""
"atlantic provinces","3.8","4.6","4.3","6.4"
"quebec","23.8","24.4","7.5","9.8"
"ontario","41.3","37.3","8.0","8.9"
"prairies","14.6","17.1","5.6","8.5"
"british columbia","16.2","16.3","8.7","10.7"
"other","0.4","0.3","3.1","6.0"
"total income","","","",""
"first (lowest) quintile","26.0","23.0","11.3","12.3"
"second quintile","23.8","22.2","10.7","14.4"
"third (middle) quintile","16.9","19.0","5.9","8.8"
"fourth quintile","15.4","16.4","4.9","6.4"
"fifth (highest) quintile","18.0","19.4","5.4","6.9"
"linked tax-census data","","","",""
"highest level of educational attainment","","","",""
"high school diploma or less","32.7","27.2","5.8","7.0"
"some postsecondary education","31.2","36.8","6.4","9.7"
"bachelor's degree","22.1","23.1","9.0","9.4"
"graduate degree","13.9","12.9","13.7","16.5"
"immigrant status","","","",""
"canadian-born","64.3","71.5","6.1","8.8"
"non-permanent resident","1.5","1.0","7.5","6.7"
"in canada for less than 5 years","4.6","3.2","10.8","9.5"
"in canada for 5 to 9 years","5.5","4.4","10.9","10.8"
"in canada for 10 to 19 years","9.3","7.8","10.5","10.6"
"in canada for 20 years or more","14.8","12.1","9.5","10.1"
