"","male overdose decedents who died before age 35","male overdose decedents who died before age 35","male overdose decedents who died at age 35 to 54","male overdose decedents who died at age 35 to 54","male british columbia residents aged 15 to 54 with t4 earnings (>$500) in 2015"
"","percentage of those with t4 employment","percentage of all decedents","percentage of those with t4 employment","percentage of all decedents","male british columbia residents aged 15 to 54 with t4 earnings (>$500) in 2015"
"","percent","percent","percent","percent","percent"
"industry","","","","",""
"construction","28.8","24.4","24.3","16.8","13.2"
"administrative and support, waste management and remediation services","8.4","7.1","13.7","9.5","5.2"
"manufacturing","10.2","8.6","11.6","8.0","9.5"
"accommodation and food services","11.5","9.8","6.3","4.4","8.3"
"retail trade","9.5","8.1","5.6","3.9","11.6"
"transportation and warehousing","4.5","3.8","8.4","5.8","6.4"
"other industries","27.0","22.9","30.0","20.7","45.8"
"total employed in the five years prior to death","100.0","84.7","100.0","68.9","100.0"
"not employed in the five years prior to death","..","15.3","..","31.1",".."
"total","..","100.0","..","100.0",".."
