"team","league","season","league","league","league","cup","cup","cup","continental1","continental1","continental1","total","total","total"
"team","league","season","apps","goals","assists","apps","goals","assists","apps","goals","assists","apps","goals","assists"
"sangiustese","lega pro seconda divisione","2009-10","7","1","0","2","0","0","-","-","-","9","1","0"
"recanatese","serie d","2010-11","20","9","6","3","1","0","-","-","-","23","10","6"
"sambenedettese","serie d","2011-12","24","12","5","3","2","0","-","-","-","27","14","5"
"subasio","eccellenza","2012-13","27","14","4","2","0","1","-","-","-","29","14","5"
"manduria","eccellenza","2012-13","13","8","3","2","1","1","-","-","-","15","9","4"
"vissai ninh binh","v-league","2014","-","-","-","4","3","2","4","3","2","none","none","none"
"song lam nghe an","v-league","2014","11","1","4","-","-","-","11","1","4","none","none","none"
"sun pegasus","hong kong premier league","2014-15","13","4","5","4","0","0","-","-","-","17","3","5"
"petrolul ploiesti","liga i","2015-16","2","0","0","-","-","-","2","0","0","none","none","none"
"wej sc","saudi 1st division","2016-17","21","11","5","3","2","2","-","-","-","24","13","7"
"pdrm","malaysian premier league","2018","15","9","5","0","0","0","-","-","-","15","9","5"
"career total","career total","career total","153","69","37","19","7","4","4","3","2","176","78","43"
