"","canada","n.l","p.e.i","n.s","n.b","que","on","mb","sask","alta","b.c"
"","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"being canadian","87","93","94","93","93","70","93","93","92","92","91"
"political influence in the world","46","52","45","44","43","36","51","50","49","53","46"
"canada's achievement in arts and literature","51","57","56","54","51","45","55","50","49","53","51"
"canada's economic achievements","54","60","45","48","47","38","60","56","62","67","54"
"treatment of all groups in society","56","60","54","54","56","43","63","53","54","62","58"
"social security system","57","50","50","55","55","48","64","57","55","58","55"
"canada's achievements in sports","59","65","62","64","60","54","59","61","65","61","61"
"scientific and technological achievements","59","56","57","55","55","51","64","57","59","62","57"
"the way democracy works","59","60","50","54","54","46","65","60","60","65","61"
"canada's constitution","63","67","64","65","62","42","71","62","64","71","64"
"health care system","64","60","60","62","65","41","76","68","69","69","66"
"canada's armed forces","64","81","78","79","73","50","70","69","69","71","60"
"canadian history","70","76","77","75","77","58","75","69","71","75","65"
