"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"sarmiento","2010-11","primera b metropolitana","17","0","0","0","-","-","0","0","17","0"
"sarmiento","2011-12","primera b metropolitana","0","0","0","0","-","-","0","0","0","0"
"sarmiento","2012-13","primera b nacional","4","0","1","0","-","-","0","0","5","0"
"sarmiento","2013-14","primera b nacional","23","1","1","0","-","-","0","0","24","1"
"sarmiento","2014","primera b nacional","18","1","0","0","-","-","0","0","18","1"
"sarmiento","2015","primera division","21","0","0","0","-","-","0","0","21","0"
"sarmiento","2016","primera division","8","0","0","0","-","-","0","0","8","0"
"sarmiento","total","total","91","2","2","0","-","-","0","0","93","2"
"godoy cruz","2016-17","primera division","13","1","0","0","-","-","2","0","0","0"
"villa dalmine","2017-18","primera b nacional","19","1","0","0","-","-","0","0","19","1"
"mitre","2018-19","primera b nacional","1","0","0","0","-","-","0","0","1","0"
"career total","career total","career total","124","4","2","0","-","-","2","0","0","0"
