"","2005","2010","2015","2018"
"","millions of dollars","millions of dollars","millions of dollars","millions of dollars"
"total of all data-related categories","","","",""
"lower range value","14,693","17,788","26,029","29,455"
"upper range value","19,995","24,125","35,192","40,025"
"'data'","","","",""
"lower range value","6,777","7,559","8,916","9,418"
"upper range value","9,742","10,840","13,448","14,216"
"'databases'","","","",""
"lower range value","3,087","4,143","5,945","8,046"
"upper range value","4,564","6,104","8,599","11,625"
"'data science'","","","",""
"lower range value","4,829","6,085","11,168","11,991"
"upper range value","5,689","7,181","13,145","14,184"
"","percent","percent","percent","percent"
"annual growth rate","","","",""
"lower range value","..","3.9","7.9","4.2"
"upper range value","..","3.8","7.8","4.4"
