"team","year","regular season","regular season","regular season","regular season","regular season","regular season","regular season","postseason","postseason","postseason","postseason"
"team","year","g","w","l","t","otl","pts","finish","w","l","win%","result"
"nsh","1998-99","82","28","47","7","-","63","5th in central","-","-","-","missed playoffs"
"nsh","1999-2000","82","28","40","7","7","70","5th in central","-","-","-","missed playoffs"
"nsh","2000-01","82","34","36","9","3","80","3rd in central","-","-","-","missed playoffs"
"nsh","2001-02","82","28","41","13","0","69","4th in central","-","-","-","missed playoffs"
"nsh","2002-03","82","27","35","13","7","74","4th in central","-","-","-","missed playoffs"
"nsh","2003-04","82","38","29","11","4","91","3rd in central","2","4",".333","lost in conference quarterfinals"
"nsh","2005-06","82","49","25","-","8","106","2nd in central","1","4",".200","lost in conference quarterfinals"
"nsh","2006-07","82","51","23","-","8","110","2nd in central","1","4",".200","lost in conference quarterfinals"
"nsh","2007-08","82","41","32","-","9","91","2nd in central","2","4",".333","lost in conference quarterfinals"
"nsh","2008-09","82","40","34","-","8","88","5th in central","-","-","-","missed playoffs"
"nsh","2009-10","82","47","29","-","6","100","3rd in central","2","4",".333","lost in conference quarterfinals"
"nsh","2010-11","82","44","27","-","11","99","2nd in central","6","6",".500","lost in conference semifinals"
"nsh","2011-12","82","48","26","-","8","104","2nd in central","5","5",".500","lost in conference semifinals"
"nsh","2012-13","48","16","23","-","9","41","5th in central","-","-","-","missed playoffs"
"nsh","2013-14","82","38","32","-","12","88","6th in central","-","-","-","missed playoffs"
"nsh total","nsh total","1,196","557","479","60","100","none","none","19","31",".380","none"
"wsh","2014-15","82","45","26","-","11","101","2nd in metropolitan","7","7",".500","lost in second round"
"wsh","2015-16","82","56","18","-","8","120","1st in metropolitan","6","6",".500","lost in second round"
"wsh","2016-17","82","55","19","-","8","118","1st in metropolitan","7","6",".538","lost in second round"
"wsh","2017-18","82","49","26","-","7","105","1st in metropolitan","16","8",".667","won stanley cup"
"wsh total","wsh total","328","205","89","-","34","none","none","36","27",".571","none"
"nyi","2018-19","82","48","27","-","7","103","2nd in metropolitan","-","-","-","none"
"nyi total","nyi total","82","48","27","-","7","none","none","-","-","-","none"
"total","total","1,524","810","595","60","141","none","none","55","58",".487","11 playoff appearances 1 stanley cup"
