"","women","men"
"","percent","percent"
"number of work interruptions","",""
"none","24.7","27.9"
"one","42.1","50.5"
"two","20.4","12.6"
"three","8.3","5.7"
"four","3.8","2.8"
"five","0.8","0.5"
"average duration of all work interruptions combined","18.5","8.6"
"number of maternity and parental leave","",""
"none","53.2","96.2"
"one","32.6","3.4"
"two","11.7","0.0"
"three","1.3","0.4"
"four","0.9","0.0"
"five","0.3","0.0"
"average duration of all maternity/parental leaves combined","15.2","3.7"
