"year","team","games","games","receiving","receiving","receiving","receiving","receiving","rushing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"year","team","g","gs","rec","yds","avg","lng","td","att","yds","avg","lng","td","fum","lost"
"2011","bal","16","14","50","841","16.8","74t","7","4","39","9.8","16","0","1","0"
"2012","bal","16","16","49","855","17.4","54","8","3","9","3.0","13","0","0","0"
"2013","bal","16","16","65","1,128","17.4","74","4","0","0","0","0","0","1","0"
"2014","bal","16","16","49","767","15.7","53","11","0","0","0","0","0","0","0"
"2015","sf","16","12","33","663","20.1","76t","4","0","0","0","0","0","0","0"
"2016","sf","12","12","20","267","13.4","53t","3","0","0","0","0","0","0","0"
"2017","phi","16","14","36","430","11.9","59t","2","1","3","3.0","3","0","0","0"
"2018","car","11","6","17","190","11.2","35","2","0","0","0","0","0","0","0"
"career","career","119","106","319","5141","16.1","76t","41","8","45","5.6","16","0","2","0"
