"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"terengganu","2011","malaysia super league","17","0","0","0","0","0","-","-","0","0"
"terengganu","2012","malaysia super league","10","0","0","0","0","0","-","-","0","0"
"terengganu","2013","malaysia super league","17","0","5","0","2","0","-","-","24","0"
"terengganu","2014","malaysia super league","21","0","2","0","8","0","-","-","31","0"
"terengganu","2015","malaysia super league","20","0","4","0","6","0","-","-","30","0"
"terengganu","2016","malaysia super league","9","0","1","0","0","0","-","-","10","0"
"terengganu","total","total","94","0","0","0","0","0","0","0","0","0"
"pahang","2017","malaysia super league","6","0","0","0","3","0","-","-","9","0"
"pahang","2018","malaysia super league","11","0","1","0","0","0","-","-","7","0"
"pahang","total","total","17","0","1","0","3","0","0","0","21","0"
"career total","career total","career total","107","0","0","0","0","0","0","0","0","0"
