"year","single","chart position","chart position","chart position","chart position","chart position","chart position","chart position","album"
"year","single","uk","aus","bel","ger","ire","ndl","swi","album"
"1990","behind the groove","none","none","none","none","none","none","none","non-album single"
"1990","day dreaming","none","none","none","none","none","none","none","deliverance"
"1992","let me be your fantasy","76","none","none","none","none","none","none","deliverance"
"1993","destiny","69","none","none","none","none","none","none","deliverance"
"1994","casanova","67","none","none","none","none","none","none","deliverance"
"1994","let me be your fantasy","1","54","27","31","6","14","12","deliverance"
"1995","(everybody's got to learn sometime) i need your loving","3","124","none","55","13","none","none","deliverance"
"1996","so pure","3","242","none","none","18","none","none","deliverance"
"1996","take me to heaven","15","none","none","none","none","none","none","deliverance"
"2000","let me be your fantasy","16","none","none","90","none","none","96","non-album single"
""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released"
