"no","pos","nat","player","total","total","league","league","fa cup","fa cup","league cup","league cup","league trophy","league trophy"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"1","gk","england","adam davies","46","0","38+0","0","1+0","0","1+0","0","6+0","0"
"2","df","england","james bree","24","0","17+2","0","0+0","0","1+0","0","1+3","0"
"3","df","england","george smith","25","0","14+5","0","1+0","0","1+1","0","3+0","0"
"4","df","england","marc roberts","38","1","28+5","1","1+0","0","2+0","0","1+1","0"
"5","df","wales","lewin nyatanga","28","3","19+2","2","1+0","0","2+0","0","4+0","1"
"7","mf","england","josh scowen","39","5","24+9","4","1+0","0","2+0","1","2+1","0"
"8","mf","republic of ireland","conor hourihane","50","11","40+1","10","0+1","0","1+1","0","6+0","1"
"9","fw","england","sam winnall","53","22","36+7","21","1+0","0","1+1","1","6+1","0"
"10","mf","australia","ryan williams","6","0","1+4","0","0+0","0","0+0","0","1+0","0"
"11","mf","england","josh brownhill","23","2","20+1","2","0+0","0","0+0","0","2+0","0"
"13","gk","england","nick townsend","10","0","8+0","0","0+0","0","1+0","0","1+0","0"
"14","mf","england","paul digby","3","0","1+0","0","0+0","0","0+0","0","0+2","0"
"15","mf","england","marley watkins","41","8","32+2","5","1+0","0","2+0","1","4+0","2"
"16","fw","england","george maris","2","0","0+1","0","1+0","0","0+0","0","0+0","0"
"17","mf","england","brad abbott","1","0","0+0","0","0+0","0","0+0","0","1+0","0"
"18","fw","england","ashley fletcher","24","7","12+9","5","0+0","0","0+0","0","1+2","2"
"19","mf","pakistan","otis khan","3","0","0+3","0","0+0","0","0+0","0","0+0","0"
"20","mf","england","adam hammill","30","8","25+0","5","0+0","0","0+0","0","5+0","3"
"22","df","england","george williams","20","1","16+3","1","0+0","0","0+0","0","1+0","0"
"24","fw","england","ivan toney","15","2","10+2","1","0+0","0","0+0","0","2+1","1"
"25","fw","england","shaun tuton","5","0","0+5","0","0+0","0","0+0","0","0+0","0"
"26","df","england","alfie mawson","56","7","46+0","6","1+0","0","2+0","0","7+0","1"
"29","df","england","matty templeton","3","1","0+2","1","0+0","0","0+1","0","0+0","0"
"32","mf","england","harry chapman","9","1","3+5","1","0+0","0","0+0","0","0+1","0"
"34","mf","wales","lloyd isgrove","32","0","27+0","0","0+1","0","0+0","0","4+0","0"
"35","df","england","aidan white","18","0","14+0","0","0+0","0","0+0","0","4+0","0"
"players who returned to their parent club:","players who returned to their parent club:","players who returned to their parent club:","players who returned to their parent club:","players who returned to their parent club:","players who returned to their parent club:","players who returned to their parent club:","players who returned to their parent club:","players who returned to their parent club:","players who returned to their parent club:","players who returned to their parent club:","players who returned to their parent club:","players who returned to their parent club:","players who returned to their parent club:"
"6","df","england","callum connolly","3","0","3+0","0","0+0","0","0+0","0","0+0","0"
"6","df","republic of ireland","kevin long","13","2","11+0","2","0+0","0","0+0","0","2+0","0"
"12","fw","england","michael smith","13","0","4+9","0","0+0","0","0+0","0","0+0","0"
"18","fw","republic of ireland","conor wilkinson","12","1","2+6","1","0+1","0","1+1","0","0+1","0"
"19","mf","england","ben pearson","29","2","23+0","1","1+0","0","2+0","0","3+0","1"
"20","mf","england","joe rothwell","7","0","2+2","0","0+0","0","1+1","0","1+0","0"
"21","mf","england","daniel crowley","13","1","6+5","0","0+0","0","1+0","1","1+0","0"
"27","mf","england","kadeem harris","13","0","7+4","0","0+0","0","0+0","0","2+0","0"
"players who left the club:","players who left the club:","players who left the club:","players who left the club:","players who left the club:","players who left the club:","players who left the club:","players who left the club:","players who left the club:","players who left the club:","players who left the club:","players who left the club:","players who left the club:","players who left the club:"
"11","fw","canada","simeon jackson","10","0","1+8","0","0+0","0","0+0","0","1+0","0"
"30","fw","england","harry white","2","0","0+0","0","0+0","0","0+0","0","0+2","0"
"32","df","england","reece wabara","26","1","18+1","1","1+0","0","1+0","0","5+0","0"
