"business age","first nations","first nations","inuit","inuit","non-indigenous comparison group","non-indigenous comparison group"
"business age","non-employer","employer","non-employer","employer","non-employer","employer"
"business age","percent","percent","percent","percent","percent","percent"
"goods","","","","","",""
"born last 5 years","30.6","11.6","78.9","6.5","19.4","10.7"
"born between 5 and 10 years","21.7","19.7","16.3","22.1","46.3","13.5"
"born more than 10 years","47.7","68.6","4.8","71.5","34.3","75.7"
"all age groups","100.0","100.0","100.0","100.0","100.0","100.0"
"goods","","","","","",""
"born last 5 years","24.7","9.1","5.6","x","21.0","13.0"
"born between 5 and 10 years","24.9","11.6","7.5","x","23.2","13.2"
"born more than 10 years","50.4","79.4","86.9","x","55.8","73.8"
"all age groups","100.0","100.0","100.0","100.0","100.0","100.0"
"service","","","","","",""
"born last 5 years","20.6","27.5","38.9","26.9","25.6","14.3"
"born between 5 and 10 years","24.9","13.1","22.2","2.4","33.7","11.3"
"born more than 10 years","54.5","59.4","38.9","70.7","40.7","74.4"
"all age groups","100.0","100.0","100.0","100.0","100.0","100.0"
"unassigned","","","","","",""
"born last 5 years","28.4","37.7","59.3","x","44.4","43.4"
"born between 5 and 10 years","54.8","7.8","25.3","x","19.4","22.0"
"born more than 10 years","16.8","54.5","15.5","..","36.2","34.6"
"all age groups","100.0","100.0","100.0","100.0","100.0","100.0"
