"jurisdiction","custody","custody","community","community","total correctional supervision","total correctional supervision"
"jurisdiction","female","aboriginal","female","aboriginal","female","aboriginal"
"jurisdiction","percent","percent","percent","percent","percent","percent"
"newfoundland and labrador","11","23","22","22","17","22"
"prince edward island","15","2","23","4","20","3"
"nova scotia","12","11","22","7","17","8"
"new brunswick","15","9","23","8","18","9"
"quebec","10","3","16","5","12","5"
"ontario","13","12","19","10","15","11"
"manitoba","19","77","26","56","21","64"
"saskatchewan","12","79","23","71","17","74"
"british columbia","11","33","20","25","16","27"
"yukon","13","75","24","55","20","59"
"northwest territories","6","90","23","84","11","87"
"nunavut","6","100","19","100","12","100"
"provincial and territorial total","13","26","20","23","15","24"
