"team","from","to","regular season record","regular season record","regular season record","post-season record","post-season record","post-season record"
"team","from","to","w","l","win %","w","l","win %"
"cincinnati reds","1934","1937","214","282",".431","-","-","-"
"brooklyn dodgers","1951","1953","298","166",".642","5","8",".385"
"washington senators","1955","1957","116","212",".354","-","-","-"
"milwaukee braves","1960","1961","159","124",".562","-","-","-"
"detroit tigers","1963","1964","140","124",".530","-","-","-"
"detroit tigers","1965","1966","81","65",".555","-","-","-"
"total","total","total","1008","973",".509","5","8",".385"
"ref.:","ref.:","ref.:","ref.:","ref.:","ref.:","ref.:","ref.:","ref.:"
